Date,2016/03/15,2016/03/15,2016/03/15,2016/03/15,2016/03/15,2016/03/15,2016/03/15,2016/03/15,2016/03/15,2016/03/15,2016/03/15,
Time,14:02:40,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),500,500,500,500,500,500,500,500,500,500,500,
Sensor Temp.(deg),24.6,24.5,24.6,24.5,24.4,24.5,24.6,24.6,24.6,24.6,24.6,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
288.21,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
288.65,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
289.08,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
289.52,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
289.95,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
290.39,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.82,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
291.26,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.69,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.87,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.30,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.74,0.65,0.03,-0.15,0.55,0.28,0.50,0.68,0.08,-0.03,0.25,0.15,
295.17,0.77,0.07,-0.17,0.67,0.22,0.72,0.72,0.15,0.00,0.25,0.32,
295.61,0.72,0.17,0.02,0.72,0.47,0.72,0.96,0.22,0.02,0.22,0.27,
296.04,0.66,0.20,0.24,0.71,0.78,0.63,0.88,0.27,0.17,0.20,0.32,
296.47,0.61,0.24,0.22,0.63,0.78,0.73,0.83,0.32,0.24,0.10,0.07,
296.91,0.60,0.41,0.24,0.58,0.77,0.75,1.13,0.43,0.24,-0.02,0.19,
297.34,0.83,0.38,0.36,0.50,0.76,0.69,1.21,0.38,0.07,0.17,0.29,
297.78,0.92,0.29,0.43,0.77,0.72,0.87,1.37,0.39,0.10,0.22,0.24,
298.21,1.11,0.53,0.44,0.99,0.73,1.14,1.43,0.58,0.24,0.24,0.34,
298.65,0.98,0.57,0.57,0.98,0.86,1.22,1.51,0.86,0.12,0.48,0.43,
299.08,1.08,0.62,0.81,1.27,1.05,1.20,1.53,0.79,0.26,0.55,0.67,
299.51,1.15,0.77,0.84,1.35,1.18,1.08,1.51,1.08,0.43,0.60,0.65,
299.95,1.27,1.03,0.79,1.34,1.27,1.20,1.63,1.22,0.50,0.72,0.67,
300.38,1.52,1.18,0.97,1.35,1.35,1.44,1.66,1.28,0.71,0.95,1.04,
300.82,1.61,1.39,1.20,1.61,1.46,1.79,1.77,1.37,1.06,1.11,1.37,
301.25,1.67,1.69,1.57,1.88,1.59,2.19,1.86,1.59,1.38,1.36,1.45,
301.68,1.70,1.96,1.84,2.01,1.96,2.29,2.10,1.87,1.58,1.56,1.65,
302.12,2.00,2.14,2.11,2.16,2.35,2.75,2.14,2.14,1.95,1.86,1.86,
302.55,2.35,2.46,2.37,2.56,2.63,3.07,2.61,2.39,2.14,2.11,2.23,
302.99,2.84,2.77,2.60,2.74,3.00,3.30,3.07,2.67,2.37,2.58,2.58,
303.42,3.22,3.00,3.00,3.03,3.43,3.73,3.54,3.03,2.61,3.05,2.89,
303.85,3.49,3.44,3.49,3.63,3.94,4.43,4.03,3.44,3.04,3.42,3.37,
304.29,3.85,3.88,4.02,4.18,4.42,4.98,4.49,3.85,3.41,3.78,3.66,
304.72,4.25,4.27,4.46,4.69,4.93,5.51,4.90,4.32,3.81,4.23,4.11,
305.15,5.00,4.74,4.98,5.16,5.56,6.14,5.26,4.93,4.39,4.37,4.62,
305.59,5.55,5.18,5.34,5.71,6.17,6.87,5.85,5.62,4.81,4.83,5.15,
306.02,6.31,5.80,5.87,6.45,6.66,7.76,6.79,6.15,5.32,5.41,5.85,
306.46,6.84,6.45,6.47,7.23,7.26,8.73,7.72,6.84,5.97,6.10,6.47,
306.89,7.67,7.32,7.29,8.27,8.18,9.93,8.64,7.71,6.59,6.76,7.22,
307.32,8.58,8.14,8.33,9.10,9.38,11.02,9.80,8.79,7.44,7.58,8.09,
307.76,9.47,9.01,9.17,10.06,10.52,12.20,10.87,9.75,8.24,8.52,8.94,
308.19,10.47,9.93,10.19,11.05,11.66,13.46,12.25,10.61,9.37,9.39,9.88,
308.62,11.55,10.90,11.06,12.07,12.99,14.70,13.60,11.81,10.24,10.36,10.94,
309.06,12.42,11.77,12.19,13.11,14.21,16.05,14.64,12.82,10.97,11.44,11.81,
309.49,13.31,12.65,13.39,14.54,15.40,17.67,15.96,14.05,12.06,12.46,13.10,
309.92,14.50,13.77,14.38,15.90,16.51,19.33,17.08,15.26,13.18,13.44,14.08,
310.35,15.76,14.93,15.61,17.16,17.87,20.87,18.47,16.59,14.31,14.64,15.21,
310.79,17.13,15.89,16.72,18.38,19.33,22.28,19.52,17.91,15.42,15.70,16.44,
311.22,18.31,16.93,17.65,19.56,20.61,23.90,20.72,19.19,16.75,16.65,17.57,
311.65,19.50,18.29,18.72,21.00,21.91,25.62,22.53,20.60,18.12,18.05,18.83,
312.09,20.57,19.20,19.81,22.14,23.21,27.08,23.95,21.86,19.17,19.24,20.05,
312.52,21.89,20.50,21.17,23.69,24.88,29.02,25.43,23.28,20.53,20.67,21.51,
312.95,23.36,21.90,22.62,25.26,26.61,30.97,26.90,24.83,21.97,21.97,23.00,
313.38,24.72,23.13,24.05,26.53,28.10,32.70,28.65,26.34,23.39,23.35,24.26,
313.82,26.00,24.22,25.28,28.07,29.57,34.48,30.02,27.52,24.65,24.58,25.52,
314.25,27.13,25.33,26.58,29.45,31.20,36.14,31.30,29.08,25.88,25.81,26.94,
314.68,28.33,26.50,27.71,30.86,32.57,37.87,32.72,30.60,27.01,27.13,28.09,
315.12,29.42,27.69,28.91,32.15,33.76,39.57,34.15,31.86,28.17,28.41,29.37,
315.55,30.82,28.88,29.91,33.57,35.15,41.30,35.61,33.28,29.53,29.62,30.56,
315.98,32.42,30.46,31.45,35.38,37.07,43.56,37.27,35.10,31.04,31.12,32.20,
316.41,34.06,31.71,32.90,36.93,38.82,45.35,38.99,36.77,32.54,32.56,33.82,
316.85,35.15,32.93,33.89,38.23,40.25,47.12,40.40,38.20,33.97,33.77,35.10,
317.28,36.25,34.25,35.17,39.76,41.78,48.88,42.17,39.76,35.36,35.09,36.56,
317.71,37.66,35.33,36.48,41.21,43.30,50.53,43.93,41.18,36.51,36.68,38.15,
318.14,38.88,36.40,37.75,42.55,44.65,52.22,45.41,42.51,37.65,38.01,39.45,
318.57,40.29,37.74,39.09,44.07,46.09,54.02,47.12,44.07,39.07,39.33,40.77,
319.01,41.54,39.01,40.55,45.43,47.57,55.75,48.75,45.58,40.29,40.62,42.11,
319.44,42.86,40.09,41.85,46.99,49.13,57.35,50.28,46.94,41.46,41.94,43.48,
319.87,43.81,41.11,42.81,48.23,50.48,58.73,51.29,48.23,42.55,43.00,44.74,
320.30,45.03,42.29,43.95,49.65,51.84,60.37,52.96,49.77,43.93,44.29,46.00,
