Date,2016/03/16,2016/03/16,2016/03/16,2016/03/16,2016/03/16,2016/03/16,2016/03/16,2016/03/16,2016/03/162016/03/16,2016/03/16,
Time,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:0014:53:16,14:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISEREKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),100,100,100,100,100,100,100,100,100,100,
Sensor Temp.(deg),24.6,24.6,24.6,24.6,24.6,24.7,24.6,24.7,24.6,24.6,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,
288.21,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,
288.65,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,
289.08,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,
289.52,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
289.95,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
290.39,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.82,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.26,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.69,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
292.13,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
292.56,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
293.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
293.43,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.87,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.30,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.74,1.00,-0.13,-1.88,1.13,2.13,2.00,1.88,2.13,0.13,2.63,
295.17,0.62,-0.75,-1.37,2.25,1.75,2.00,2.37,0.87,0.87,2.37,
295.61,0.99,0.25,-0.25,1.36,1.36,1.73,2.72,0.74,1.23,1.98,
296.04,1.59,-0.85,-0.37,2.20,1.46,1.83,2.69,1.34,0.98,1.22,
296.47,0.36,-0.61,-0.73,2.92,0.85,2.67,1.82,1.82,0.24,0.61,
296.91,0.96,0.24,-0.12,2.89,0.96,2.17,0.60,1.93,0.12,0.12,
297.34,2.49,0.12,0.36,2.14,0.48,1.66,1.19,2.61,0.59,0.24,
297.78,2.89,0.72,-0.72,2.41,0.48,1.69,1.81,2.65,0.72,1.08,
298.21,2.66,1.21,0.12,2.42,1.94,1.21,1.94,2.30,0.97,2.54,
298.65,3.71,2.51,1.55,1.31,2.27,0.84,1.67,2.39,1.55,3.59,
299.08,3.35,2.63,3.11,1.79,1.43,1.79,2.51,2.63,1.67,3.71,
299.51,2.88,3.12,3.36,3.00,0.72,2.64,2.64,2.76,0.96,3.96,
299.95,2.63,3.59,2.87,3.59,1.55,2.99,1.67,2.63,0.96,4.54,
300.38,3.08,4.50,3.32,3.79,2.37,3.20,2.01,2.72,1.42,3.43,
300.82,5.08,5.43,3.90,4.72,1.89,4.13,3.78,3.07,2.48,2.95,
301.25,6.07,5.83,5.47,5.47,2.26,4.52,4.40,3.33,3.33,3.09,
301.68,7.57,6.74,6.15,6.27,3.66,4.73,4.49,4.26,3.90,3.78,
302.12,7.98,6.58,6.81,7.04,4.46,6.11,4.93,5.17,4.34,3.87,
302.55,8.21,7.16,7.98,7.75,5.40,6.69,5.40,6.57,4.69,4.11,
302.99,8.25,7.09,8.72,8.95,6.51,7.32,6.62,7.55,5.58,5.81,
303.42,8.69,8.92,9.74,9.51,7.98,7.98,7.98,8.33,6.46,7.04,
303.85,10.14,10.14,10.84,10.84,10.02,9.08,9.43,8.25,7.78,8.37,
304.29,11.74,10.80,13.15,11.86,11.63,9.75,10.57,8.57,8.81,8.69,
304.72,13.31,12.49,14.71,13.19,12.38,11.09,11.91,9.81,10.16,9.81,
305.15,14.48,13.55,15.18,15.42,13.20,13.55,13.08,11.56,10.86,11.09,
305.59,16.13,16.37,15.90,17.41,15.32,15.55,13.81,12.88,11.84,11.95,
306.02,18.26,17.22,17.68,19.30,17.56,16.99,15.25,14.10,13.40,12.71,
306.46,20.27,19.46,19.46,21.08,18.77,18.77,17.74,16.24,15.55,14.40,
306.89,22.48,22.25,21.20,24.23,21.09,21.20,20.27,18.29,17.71,17.01,
307.32,25.14,25.03,24.21,26.66,25.14,22.69,22.10,20.58,19.76,18.71,
307.76,28.81,26.25,27.18,28.46,27.88,25.31,23.91,23.45,22.16,20.41,
308.19,30.85,29.33,30.73,30.73,29.91,28.51,26.76,27.46,23.60,22.78,
308.62,33.93,34.05,33.46,33.93,32.64,31.58,29.70,30.41,25.83,25.60,
309.06,37.77,38.59,36.59,36.95,35.77,34.94,31.77,32.59,28.71,28.24,
309.49,42.92,42.57,40.09,39.85,39.02,37.49,35.36,35.00,31.57,30.27,
309.92,47.08,45.78,43.77,43.77,41.99,40.34,38.33,37.50,34.66,33.24,
310.35,51.22,50.74,47.77,46.70,45.04,43.25,41.59,41.23,37.67,35.17,
310.79,55.82,54.51,51.78,50.35,48.34,46.32,43.59,45.25,40.26,37.77,
311.22,58.74,57.67,55.42,54.12,51.28,49.98,46.54,48.67,42.16,39.44,
311.65,62.74,61.55,61.31,58.57,55.36,53.57,50.00,52.27,45.24,42.26,
312.09,66.17,64.50,64.74,61.06,58.80,56.90,53.45,55.95,48.35,45.73,
312.52,70.22,68.78,68.90,65.55,63.28,60.77,57.90,59.57,51.44,48.93,
312.95,74.59,72.42,73.75,69.66,68.69,64.48,61.84,62.92,55.46,52.21,
313.38,78.75,75.85,80.19,72.60,73.08,67.89,65.48,66.32,59.33,55.59,
313.82,82.70,80.90,84.99,76.32,76.20,72.35,69.34,70.42,62.84,59.35,
314.25,86.07,86.19,88.72,81.02,80.06,76.80,73.07,74.76,65.85,62.60,
314.68,90.52,90.40,92.44,85.10,84.50,81.01,76.07,78.48,69.33,66.08,
315.12,95.33,93.77,96.77,88.85,89.21,84.52,79.24,81.52,72.76,69.04,
315.55,100.26,97.75,100.98,93.20,92.24,88.77,83.63,85.42,76.21,72.38,
315.98,105.05,103.24,105.89,98.29,97.45,93.59,88.40,90.21,80.68,75.26,
316.41,110.34,107.20,111.31,102.61,102.61,98.26,92.21,95.48,84.48,78.92,
316.85,114.18,110.09,115.75,106.95,106.83,102.74,95.39,99.25,88.16,82.62,
317.28,117.34,113.73,119.87,111.92,111.08,107.71,100.25,103.86,91.82,86.53,
317.71,122.29,118.32,123.98,116.87,115.54,112.41,104.22,108.80,96.15,91.81,
318.14,126.22,122.61,127.30,120.45,119.61,116.96,107.59,111.91,99.17,95.57,
318.57,130.90,127.29,131.98,125.13,124.53,120.68,111.67,114.91,103.13,98.69,
319.01,136.13,132.28,136.97,129.28,128.67,123.98,115.45,118.33,107.27,102.70,
319.44,140.97,137.73,141.21,133.28,132.08,128.71,119.70,122.70,110.57,105.64,
319.87,145.68,141.26,143.65,137.80,135.29,133.13,123.10,126.80,113.30,108.63,
320.30,149.37,144.97,147.23,142.23,139.49,137.58,125.79,130.79,116.26,112.21,
320.73,155.13,149.90,152.52,147.76,144.55,141.45,129.79,134.20,120.51,115.52,
321.17,160.15,153.88,156.96,152.58,148.21,146.43,134.60,138.39,125.02,118.99,
321.60,166.33,160.26,163.59,159.91,154.67,152.53,140.76,144.45,131.25,124.95,
322.03,174.07,166.44,171.68,167.15,162.98,158.81,147.01,150.70,137.35,131.15,
322.46,181.08,173.24,178.94,173.59,169.55,165.03,152.43,156.11,143.51,137.69,
322.89,186.73,179.64,184.96,180.11,175.15,171.84,158.96,162.15,148.79,143.00,
323.33,194.16,186.97,192.04,187.32,181.43,179.19,164.92,169.40,154.43,149.48,
323.76,201.72,194.32,199.72,193.15,188.34,185.64,170.62,175.31,159.71,155.95,
324.19,208.52,200.71,206.88,199.31,194.65,191.27,176.81,181.01,165.39,160.84,
324.62,215.75,206.84,213.56,207.19,200.48,196.42,183.81,187.16,171.77,165.87,
325.05,223.69,214.79,222.19,215.02,208.31,204.26,191.42,195.70,179.28,173.03,
325.48,232.74,220.79,229.98,222.28,214.81,211.36,197.34,203.32,185.27,178.49,
325.92,238.55,226.69,237.64,228.97,221.11,218.03,202.53,209.60,191.25,184.30,
326.35,245.29,234.74,245.18,236.55,227.93,223.96,208.98,216.36,197.41,189.70,
326.78,250.93,240.47,250.70,241.70,233.49,229.22,214.93,222.25,202.90,194.46,
327.21,256.12,246.84,256.79,247.40,239.13,235.11,220.92,227.96,207.62,200.25,
327.64,261.16,252.50,262.27,252.72,245.50,239.29,225.63,232.74,212.53,204.98,
328.07,265.26,256.56,267.02,255.90,249.95,243.12,229.46,236.51,216.46,208.53,
328.50,268.79,261.57,269.88,259.05,252.81,246.36,233.45,240.67,219.78,211.13,
328.93,271.60,263.47,272.36,261.74,254.91,249.49,235.72,243.96,221.20,213.94,
329.37,273.56,265.29,274.74,264.75,257.55,251.86,236.71,246.05,223.06,215.75,
329.80,275.49,267.29,276.56,266.97,260.15,253.33,239.47,247.57,225.08,216.77,
330.23,277.17,268.95,277.17,268.84,260.62,254.82,241.85,248.71,227.20,217.50,
330.66,280.67,272.05,279.93,271.84,264.17,257.54,244.93,251.76,230.53,220.86,
331.09,283.63,274.13,282.69,272.98,267.23,260.03,246.24,254.28,232.98,223.06,
331.52,284.51,275.93,283.38,273.76,267.87,260.94,246.37,255.05,233.86,223.31,
331.95,284.14,277.91,283.22,273.82,267.79,261.46,246.23,255.33,233.97,224.27,
332.38,284.69,278.61,283.17,274.57,268.39,262.42,245.62,256.55,233.68,225.18,
332.81,284.63,278.41,283.12,274.41,269.30,263.49,245.35,256.27,233.63,225.02,
333.24,284.78,278.33,283.19,274.27,269.81,262.87,245.52,255.44,233.13,224.81,
333.68,285.75,278.60,283.40,274.67,269.97,262.81,245.55,255.45,233.59,224.96,
334.11,287.23,280.71,284.70,275.46,270.69,264.66,246.76,256.58,234.69,225.84,
334.54,288.50,281.00,285.71,276.57,271.09,265.89,247.04,257.62,234.44,226.07,
334.97,288.24,281.21,286.25,277.42,272.19,266.88,246.94,257.86,234.50,226.81,
335.40,290.45,283.13,288.20,279.00,274.40,268.11,248.21,258.91,236.66,227.83,
335.83,292.45,285.31,290.23,280.49,275.85,270.10,250.62,260.36,238.47,229.57,
336.26,294.83,287.67,292.44,282.98,278.76,272.61,253.23,263.15,241.19,231.92,
