Date,2016/03/21,2016/03/21,2016/03/21,2016/03/21,
Time,08:40:00,08:45:00,08:50:00,08:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),1000,1000,1000,1000,
Sensor Temp.(deg),24.6,24.6,24.5,24.6,
Power(V),5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,0.00,-0.00,0.00,0.00,
288.21,0.00,-0.00,0.00,-0.00,
288.65,0.00,-0.00,0.00,-0.00,
289.08,0.00,-0.00,0.00,-0.00,
289.52,0.00,-0.00,0.00,-0.00,
289.95,0.00,0.00,0.00,0.00,
290.39,0.00,0.00,0.00,-0.00,
290.82,0.00,0.00,0.00,0.00,
291.26,0.00,0.00,0.00,0.00,
291.69,0.00,-0.00,0.00,0.00,
292.13,0.00,0.00,-0.00,0.00,
292.56,0.00,0.00,-0.00,0.00,
293.00,0.00,0.00,0.00,0.00,
293.43,0.00,0.00,0.00,0.00,
293.87,0.00,0.00,0.00,0.00,
294.30,0.00,0.00,-0.00,0.00,
294.74,0.14,0.08,-0.06,0.08,
295.17,0.12,0.14,-0.04,0.12,
295.61,0.11,0.15,0.01,0.16,
296.04,0.07,0.12,0.02,0.12,
296.47,0.00,0.07,0.01,0.11,
296.91,0.04,0.02,0.07,0.19,
297.34,0.12,-0.05,0.06,0.11,
297.78,0.14,-0.02,-0.01,0.07,
298.21,0.15,0.05,0.08,0.15,
298.65,0.06,0.11,0.17,0.18,
299.08,0.04,0.17,0.20,0.19,
299.51,0.08,0.14,0.19,0.19,
299.95,0.17,0.11,0.16,0.17,
300.38,0.19,0.12,0.14,0.21,
300.82,0.18,0.12,0.19,0.22,
301.25,0.21,0.18,0.26,0.27,
301.68,0.20,0.17,0.32,0.31,
302.12,0.18,0.13,0.34,0.34,
302.55,0.25,0.13,0.39,0.40,
302.99,0.36,0.12,0.38,0.43,
303.42,0.41,0.18,0.33,0.43,
303.85,0.46,0.31,0.39,0.54,
304.29,0.46,0.41,0.50,0.63,
304.72,0.50,0.53,0.60,0.74,
305.15,0.60,0.54,0.65,0.79,
305.59,0.68,0.57,0.71,0.86,
306.02,0.80,0.65,0.80,1.05,
306.46,0.88,0.71,0.91,1.12,
306.89,1.04,0.89,1.03,1.34,
