Date,2016/03/29,2016/03/29,2016/03/29,2016/03/29,2016/03/29,2016/03/29,
Time,08:30:00,08:35:00,08:40:00,08:45:00,08:50:00,08:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),1000,1000,2000,2000,2000,1000,
Sensor Temp.(deg),24.6,24.5,24.5,24.5,24.5,24.5,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,0.00,0.00,0.00,0.00,0.00,0.00,
288.21,0.00,-0.00,0.00,0.00,0.00,0.00,
288.65,0.00,-0.00,0.00,0.00,0.00,0.00,
289.08,0.00,-0.00,0.00,0.00,-0.00,0.00,
289.52,-0.00,-0.00,0.00,0.00,-0.00,0.00,
289.95,0.00,-0.00,0.00,0.00,-0.00,0.00,
290.39,0.00,0.00,0.00,0.00,-0.00,0.00,
290.82,0.00,0.00,0.00,0.00,0.00,0.00,
291.26,0.00,-0.00,0.00,0.00,0.00,0.00,
291.69,0.00,-0.00,0.00,0.00,-0.00,0.00,
292.13,0.00,-0.00,0.00,0.00,-0.00,0.00,
292.56,-0.00,-0.00,0.00,0.00,-0.00,0.00,
293.00,0.00,-0.00,0.00,0.00,-0.00,0.00,
293.43,0.00,-0.00,0.00,0.00,0.00,0.00,
293.87,0.00,-0.00,0.00,0.00,0.00,0.00,
294.30,0.00,-0.00,0.00,0.00,0.00,0.00,
294.74,0.08,-0.04,0.04,0.00,-0.01,0.20,
295.17,0.09,0.01,0.04,-0.04,0.01,0.25,
295.61,0.16,0.04,0.04,-0.01,0.04,0.21,
296.04,0.26,0.12,0.02,0.02,0.07,0.18,
296.47,0.28,0.15,0.03,0.00,0.11,0.22,
296.91,0.24,0.06,0.10,0.00,0.11,0.22,
297.34,0.20,0.02,0.09,0.02,0.08,0.15,
297.78,0.19,0.01,0.07,0.01,0.07,0.16,
298.21,0.16,0.06,0.05,0.01,0.04,0.21,
298.65,0.19,0.11,0.07,0.04,0.08,0.14,
299.08,0.24,0.12,0.08,0.05,0.10,0.14,
299.51,0.22,0.14,0.09,0.05,0.11,0.17,
299.95,0.26,0.06,0.08,0.07,0.12,0.18,
300.38,0.22,0.08,0.07,0.05,0.09,0.22,
300.82,0.17,0.14,0.04,0.02,0.11,0.26,
301.25,0.25,0.17,0.06,0.03,0.14,0.23,
301.68,0.30,0.21,0.06,0.07,0.14,0.20,
302.12,0.32,0.21,0.08,0.06,0.16,0.21,
302.55,0.28,0.15,0.13,0.06,0.16,0.26,
302.99,0.24,0.09,0.15,0.10,0.12,0.20,
303.42,0.23,0.07,0.13,0.11,0.10,0.23,
303.85,0.20,0.13,0.13,0.12,0.11,0.37,
304.29,0.23,0.16,0.14,0.15,0.14,0.39,
