Date,2016/04/11,2016/04/11,2016/04/11,2016/04/11,2016/04/11,2016/04/11,2016/04/11,
Time,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),200,200,200,200,200,200,200,
Sensor Temp.(deg),24.7,24.6,24.6,24.6,24.7,24.6,24.6,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
288.21,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
288.65,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
289.08,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
289.52,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,
289.95,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
290.39,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
290.82,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
291.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.56,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
293.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
293.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.30,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
294.74,1.06,-0.31,-0.06,0.19,0.63,0.63,0.63,
295.17,0.75,-0.50,-0.25,0.25,0.50,0.81,0.56,
295.61,0.74,-0.49,-0.19,0.43,0.49,0.56,0.62,
296.04,1.04,-0.06,0.18,0.61,0.61,0.73,0.67,
296.47,0.85,0.30,0.30,0.49,0.67,1.22,0.85,
296.91,1.02,0.30,0.18,0.84,0.78,1.14,1.26,
297.34,1.31,0.48,-0.18,0.71,1.13,1.31,1.13,
297.78,1.02,0.54,0.00,0.48,1.21,1.33,0.84,
298.21,0.73,0.36,0.24,0.54,0.97,1.09,1.15,
298.65,0.84,0.00,0.60,0.72,1.08,1.14,1.26,
299.08,0.90,0.24,0.66,0.66,1.08,1.32,1.08,
299.51,1.20,0.78,0.60,0.60,1.20,1.68,1.26,
299.95,1.44,0.84,0.54,0.60,1.32,1.55,1.20,
300.38,1.30,0.83,0.71,0.77,1.54,1.54,1.07,
300.82,1.06,1.12,0.59,0.94,1.83,1.95,1.12,
301.25,1.25,1.25,1.01,1.43,1.96,1.73,1.43,
301.68,1.54,1.54,1.42,1.77,2.19,1.83,1.77,
302.12,1.41,2.00,2.00,1.82,2.52,2.52,2.29,
302.55,1.70,2.29,2.11,2.17,2.82,2.82,3.05,
302.99,2.21,2.56,2.03,2.50,3.02,3.14,3.49,
303.42,2.35,2.88,2.35,2.29,3.46,3.46,3.58,
303.85,2.30,2.95,2.95,2.71,3.77,3.83,4.07,
304.29,2.52,2.94,3.41,3.17,4.05,4.35,4.70,
304.72,3.04,3.44,4.03,3.68,4.61,4.96,5.02,
305.15,3.62,4.32,4.44,4.15,5.31,5.66,5.84,
305.59,4.18,4.87,4.99,4.64,5.98,6.38,6.79,
306.02,4.62,5.32,5.32,5.78,6.82,7.11,7.74,
306.46,5.13,6.10,5.99,6.62,8.00,8.35,8.64,
306.89,5.71,6.82,6.99,7.46,8.97,9.38,9.90,
307.32,6.55,7.66,8.42,8.71,10.17,10.47,11.29,
307.76,7.23,8.17,9.62,9.80,11.37,12.01,12.83,
308.19,8.35,9.35,10.81,10.98,12.74,13.61,14.49,
308.62,9.74,10.57,11.74,12.33,14.03,15.09,16.14,
309.06,11.00,11.59,13.06,13.41,15.53,16.59,17.59,
309.49,11.94,12.59,14.72,14.84,17.26,18.21,19.16,
309.92,13.01,13.60,16.15,16.68,18.81,20.11,21.00,
310.35,14.56,15.21,17.88,18.54,20.50,21.57,22.99,
310.79,16.27,16.86,19.42,20.13,22.39,23.69,24.94,
311.22,17.35,18.53,21.20,21.79,24.04,25.58,27.12,
311.65,19.11,20.30,22.86,24.05,26.13,27.92,29.88,
312.09,20.79,22.15,24.53,25.84,28.27,30.17,31.84,
312.52,22.31,24.16,26.74,27.51,30.56,32.54,34.21,
312.95,24.06,25.87,28.99,29.78,32.54,34.77,36.75,
