Date,2016/04/18,2016/04/18,2016/04/18,2016/04/18,2016/04/18,2016/04/18,2016/04/18,2016/04/18,2016/04/18,2016/04/18,2016/04/18,2016/04/18,
Time,08:00:00,08:05:00,08:10:00,08:15:00,08:20:00,08:25:00,08:30:00,08:35:00,08:40:00,08:45:00,08:50:00,08:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),1000,1000,1000,500,500,500,500,500,500,500,500,200,
Sensor Temp.(deg),24.4,24.6,24.4,24.6,24.6,24.6,24.5,24.6,24.5,24.6,24.6,24.7,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
288.21,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
288.65,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.08,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.52,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.95,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.39,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.82,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.26,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.69,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.13,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.43,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.87,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.30,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.74,-0.03,0.16,0.19,0.28,0.13,0.15,0.28,0.35,0.18,0.33,0.40,0.56,
295.17,0.00,0.17,0.11,0.27,0.25,0.10,0.35,0.45,0.17,0.30,0.30,0.62,
295.61,0.05,0.16,0.10,0.42,0.27,0.12,0.17,0.30,0.20,0.32,0.25,0.43,
296.04,0.02,0.15,0.05,0.34,0.29,0.10,0.10,0.20,0.17,0.32,0.29,0.55,
296.47,0.02,0.17,0.09,0.10,0.32,0.15,0.32,0.32,0.22,0.44,0.34,0.30,
296.91,-0.01,0.18,0.14,0.24,0.27,0.22,0.31,0.43,0.36,0.43,0.24,0.06,
297.34,0.01,0.24,0.20,0.36,0.14,0.26,0.33,0.50,0.38,0.31,0.24,0.18,
297.78,0.01,0.33,0.27,0.29,0.14,0.17,0.29,0.51,0.43,0.29,0.31,0.48,
298.21,0.11,0.29,0.24,0.29,0.24,0.19,0.19,0.41,0.51,0.31,0.29,0.48,
298.65,0.19,0.23,0.22,0.22,0.24,0.31,0.19,0.36,0.55,0.33,0.31,0.30,
299.08,0.19,0.31,0.23,0.17,0.26,0.14,0.26,0.36,0.50,0.31,0.38,0.30,
299.51,0.13,0.34,0.24,0.26,0.36,0.10,0.36,0.26,0.55,0.41,0.48,0.36,
299.95,0.20,0.30,0.32,0.43,0.41,0.24,0.38,0.33,0.62,0.45,0.69,0.18,
300.38,0.25,0.32,0.33,0.50,0.38,0.24,0.36,0.52,0.64,0.52,0.85,0.41,
300.82,0.34,0.35,0.31,0.47,0.38,0.26,0.50,0.59,0.66,0.54,0.83,0.65,
301.25,0.37,0.27,0.31,0.64,0.45,0.31,0.45,0.60,0.79,0.64,0.83,0.71,
301.68,0.39,0.28,0.31,0.61,0.45,0.35,0.40,0.52,0.83,0.76,0.99,0.83,
302.12,0.34,0.28,0.34,0.42,0.38,0.42,0.59,0.59,0.92,0.85,1.10,0.82,
302.55,0.34,0.32,0.47,0.59,0.38,0.54,0.73,0.68,1.17,0.99,1.08,0.76,
302.99,0.34,0.37,0.52,0.79,0.28,0.65,0.77,0.84,1.23,1.02,1.19,1.10,
303.42,0.38,0.50,0.61,0.92,0.35,0.73,0.80,0.99,1.22,1.08,1.55,1.47,
303.85,0.46,0.51,0.59,0.94,0.54,0.83,0.90,1.04,1.32,1.25,1.65,1.95,
304.29,0.58,0.49,0.62,0.96,0.73,1.03,0.96,1.15,1.43,1.46,1.81,1.88,
304.72,0.57,0.61,0.65,1.00,0.89,1.00,1.07,1.28,1.49,1.61,2.08,2.16,
305.15,0.54,0.68,0.69,1.07,0.98,1.10,1.28,1.40,1.68,1.92,2.41,2.51,
305.59,0.60,0.68,0.81,1.30,1.11,1.32,1.46,1.69,2.00,2.21,2.83,2.32,
306.02,0.70,0.82,0.91,1.46,1.20,1.53,1.62,2.08,2.26,2.50,3.19,2.72,
306.46,0.76,0.93,1.00,1.57,1.27,1.73,1.91,2.40,2.53,2.81,3.50,3.51,
306.89,0.89,1.01,1.20,1.86,1.54,1.96,2.10,2.75,2.87,3.26,3.87,4.08,
307.32,0.96,1.16,1.36,2.01,1.85,2.25,2.32,2.97,3.37,3.72,4.35,4.62,
307.76,1.07,1.36,1.55,2.01,2.05,2.66,2.73,3.31,3.83,4.15,4.95,5.31,
308.19,1.16,1.52,1.86,2.27,2.29,2.94,3.22,3.76,4.37,4.72,5.40,5.78,
308.62,1.33,1.78,2.17,2.70,2.75,3.36,3.73,4.41,4.93,5.33,6.06,6.52,
309.06,1.53,2.09,2.46,3.08,3.08,3.79,4.12,5.01,5.46,6.00,7.06,7.53,
309.49,1.82,2.36,2.80,3.38,3.67,4.26,4.75,5.58,6.01,6.69,7.85,8.63,
309.92,2.14,2.56,3.09,3.64,4.23,4.78,5.42,6.25,6.70,7.55,8.56,9.46,
310.35,2.36,2.95,3.47,4.09,4.78,5.30,5.87,6.84,7.46,8.37,9.51,10.40,
310.79,2.54,3.28,3.78,4.56,5.27,5.77,6.60,7.46,8.27,9.26,10.50,11.82,
311.22,2.84,3.59,4.28,5.00,5.83,6.44,7.39,8.22,9.12,10.30,11.53,12.49,
311.65,3.20,4.02,4.80,5.64,6.43,7.19,8.21,9.24,10.19,11.36,12.55,13.81,
312.09,3.52,4.49,5.29,6.27,6.98,7.98,9.03,10.17,11.02,12.35,13.61,15.32,
312.52,3.94,4.95,5.92,6.99,7.80,8.71,10.00,11.13,12.08,13.54,14.88,16.87,
312.95,4.42,5.49,6.53,7.63,8.66,9.67,10.85,12.05,13.31,14.82,16.17,18.11,
313.38,4.86,6.08,7.13,8.20,9.38,10.71,11.89,13.10,14.57,16.06,17.56,19.41,
313.82,5.35,6.68,7.80,8.96,10.16,11.53,12.93,14.21,15.65,17.34,18.90,20.83,
314.25,5.86,7.34,8.54,9.90,11.12,12.50,14.08,15.36,17.00,18.73,20.37,22.27,
314.68,6.45,8.09,9.28,10.88,11.99,13.58,15.09,16.63,18.30,20.15,22.00,23.89,
315.12,7.11,8.79,9.98,11.74,12.89,14.58,16.26,17.87,19.55,21.54,23.58,25.69,
315.55,7.78,9.43,10.73,12.49,13.97,15.60,17.52,19.17,20.79,22.92,24.98,27.28,
315.98,8.50,10.22,11.66,13.60,15.15,16.81,18.72,20.55,22.48,24.68,26.70,29.19,
316.41,9.12,11.07,12.53,14.62,16.15,17.98,20.04,21.83,24.00,26.23,28.57,31.00,
316.85,9.79,11.83,13.42,15.49,17.25,19.15,21.49,23.29,25.44,27.89,30.26,32.52,
317.28,10.52,12.70,14.44,16.63,18.36,20.51,22.79,24.84,27.05,29.49,31.87,34.18,
317.71,11.22,13.61,15.42,17.78,19.37,21.83,24.19,26.46,28.60,31.06,33.66,36.21,
318.14,11.97,14.49,16.42,18.82,20.56,22.98,25.44,27.89,29.93,32.62,35.44,38.11,
318.57,12.78,15.33,17.35,19.83,21.83,24.26,26.66,29.16,31.59,34.26,37.09,40.09,
319.01,13.54,16.21,18.29,20.80,22.97,25.69,27.97,30.59,33.19,35.96,38.77,41.79,
319.44,14.29,17.16,19.29,21.90,24.20,26.85,29.47,32.06,34.76,37.54,40.60,43.69,
319.87,15.00,18.06,20.32,23.07,25.41,28.04,30.88,33.39,36.21,39.08,42.26,45.89,
320.30,15.82,19.00,21.38,24.40,26.66,29.54,32.33,34.97,37.90,40.79,44.19,47.53,
320.73,16.76,20.09,22.50,25.65,28.08,30.98,33.88,36.74,39.59,42.71,46.30,49.79,
321.17,17.71,21.04,23.59,26.92,29.52,32.46,35.63,38.54,41.35,44.54,48.19,52.16,
321.60,18.86,22.33,25.13,28.70,31.29,34.41,37.50,40.64,43.75,47.10,50.74,54.93,
322.03,19.96,23.70,26.55,30.43,33.10,36.34,39.54,42.73,46.16,49.72,53.48,57.82,
322.46,21.05,25.09,27.97,31.98,34.84,38.33,41.61,44.90,48.44,52.10,56.12,60.52,
322.89,22.15,26.32,29.47,33.75,36.57,40.28,43.59,47.04,50.80,54.46,58.41,62.81,
323.33,23.38,27.75,31.11,35.65,38.38,42.35,45.69,49.44,53.29,56.99,61.07,65.72,
323.76,24.57,29.20,32.67,37.36,40.30,44.22,47.78,51.66,55.57,59.54,63.88,68.76,
324.19,25.79,30.53,34.14,39.07,42.24,46.23,49.75,53.71,57.90,61.91,66.34,71.74,
324.62,27.03,31.85,35.58,40.63,43.98,48.24,51.86,55.84,60.26,64.38,68.94,74.19,
325.05,28.37,33.51,37.32,42.59,46.06,50.36,54.32,58.34,62.90,67.25,72.03,77.55,
325.48,29.60,34.94,38.89,44.46,48.00,52.32,56.57,60.62,65.35,69.79,74.84,80.80,
325.92,30.82,36.23,40.40,46.23,49.78,54.39,58.56,62.89,67.56,72.26,77.50,83.14,
326.35,32.11,37.70,41.93,48.01,51.78,56.41,60.77,65.37,70.02,74.86,80.28,85.83,
326.78,33.19,38.93,43.27,49.44,53.47,58.13,62.69,67.46,72.00,77.00,82.55,88.40,
327.21,34.28,40.07,44.69,51.09,55.09,59.78,64.45,69.39,74.11,79.18,84.70,90.79,
327.64,35.22,41.16,45.89,52.41,56.56,61.36,66.02,71.00,75.97,81.21,86.76,92.88,
328.07,35.96,42.09,46.85,53.29,57.88,62.66,67.59,72.51,77.55,82.77,88.46,94.52,
328.50,36.70,42.90,47.85,54.44,59.07,63.91,68.85,73.93,79.11,84.21,89.90,96.10,
328.93,37.28,43.54,48.60,55.25,59.96,64.88,69.95,75.02,80.27,85.38,91.04,97.27,
329.37,37.80,44.23,49.24,55.98,60.79,65.69,70.83,75.96,81.23,86.34,92.32,98.53,
329.80,38.32,44.78,49.82,56.63,61.64,66.54,71.68,76.80,82.10,87.26,93.38,99.70,
330.23,38.77,45.10,50.20,57.12,62.18,67.20,72.24,77.43,82.74,87.88,93.96,100.31,
330.66,39.37,45.86,50.91,58.01,63.20,68.16,73.33,78.55,83.95,89.16,95.32,101.65,
331.09,39.76,46.37,51.47,58.75,63.95,68.90,74.14,79.28,84.73,90.02,96.24,102.91,
331.52,40.07,46.66,51.81,59.24,64.39,69.45,74.69,79.85,85.25,90.52,96.77,102.97,
331.95,40.24,46.86,51.94,59.46,64.61,69.70,74.89,80.14,85.46,90.77,96.86,102.73,
332.38,40.39,47.06,52.14,59.71,64.91,70.01,75.36,80.54,85.78,91.00,97.16,103.23,
332.81,40.55,47.12,52.33,59.97,65.04,70.11,75.36,80.71,85.96,91.23,97.26,103.54,
333.24,40.62,47.19,52.31,60.01,65.16,70.20,75.39,80.70,86.08,91.37,97.24,103.48,
333.68,40.64,47.29,52.31,59.98,65.29,70.41,75.59,80.80,86.20,91.45,97.32,103.60,
334.11,40.84,47.52,52.59,60.35,65.60,70.84,76.03,81.27,86.66,91.95,97.73,103.97,
334.54,41.02,47.72,52.80,60.74,65.80,71.13,76.30,81.44,86.96,92.20,98.03,104.42,
334.97,41.14,47.93,52.92,60.95,65.98,71.38,76.50,81.78,87.16,92.43,98.43,104.62,
335.40,41.43,48.24,53.22,61.39,66.43,71.87,77.02,82.35,87.60,93.05,99.15,105.42,
335.83,41.80,48.53,53.58,61.76,66.93,72.42,77.56,83.00,88.15,93.74,99.67,106.34,
336.26,42.20,49.03,54.06,62.44,67.66,73.11,78.40,83.73,89.02,94.73,100.61,107.37,
336.69,42.49,49.47,54.51,63.01,68.33,73.78,79.23,84.48,89.83,95.64,101.51,108.47,
337.12,42.86,49.83,54.98,63.60,68.90,74.41,80.01,85.23,90.63,96.50,102.36,109.32,
337.55,43.26,50.26,55.45,64.27,69.53,75.12,80.80,86.11,91.56,97.37,103.17,110.21,
337.98,43.61,50.65,55.92,64.84,70.18,75.84,81.53,86.95,92.33,98.23,104.15,111.31,
338.41,44.03,51.04,56.44,65.48,70.84,76.49,82.30,87.83,93.16,99.13,105.18,112.54,
338.84,44.36,51.41,56.80,65.93,71.41,77.16,82.88,88.40,93.90,99.91,105.94,113.58,
339.27,44.58,51.71,57.06,66.21,71.89,77.75,83.51,88.94,94.61,100.54,106.66,114.12,
339.70,44.97,52.14,57.63,66.93,72.58,78.57,84.38,89.82,95.54,101.53,107.79,115.32,
340.13,45.35,52.56,58.12,67.59,73.22,79.27,85.13,90.56,96.42,102.45,108.79,116.44,
340.56,45.58,52.88,58.39,68.01,73.64,79.75,85.49,91.08,96.87,102.95,109.50,116.76,
340.99,45.70,52.97,58.49,68.21,73.94,80.11,85.88,91.56,97.07,103.35,109.97,117.22,
341.42,45.89,53.05,58.68,68.36,74.23,80.42,86.32,91.90,97.38,103.66,110.31,117.78,
341.85,45.96,53.10,58.75,68.47,74.41,80.49,86.40,92.04,97.57,103.80,110.44,117.89,
342.28,45.90,53.07,58.73,68.50,74.39,80.56,86.47,92.05,97.63,103.88,110.57,117.86,
342.71,45.88,52.98,58.69,68.49,74.33,80.61,86.50,92.09,97.64,103.79,110.62,117.79,
343.14,46.01,53.07,58.83,68.78,74.52,80.90,86.73,92.47,98.07,104.05,110.94,117.99,
343.57,46.00,53.08,58.85,68.84,74.64,81.07,86.81,92.61,98.17,104.12,111.14,118.03,
344.00,45.95,53.01,58.81,68.80,74.64,81.07,86.69,92.61,98.16,104.13,111.30,118.16,
344.43,46.01,53.01,58.84,68.88,74.75,81.23,86.84,92.75,98.39,104.30,111.43,118.54,
344.86,45.95,53.00,58.80,68.84,74.86,81.42,86.94,92.78,98.53,104.44,111.56,118.57,
345.29,46.09,53.16,59.01,69.15,75.19,81.67,87.31,93.17,99.00,104.91,112.11,119.05,
345.72,46.21,53.31,59.18,69.48,75.44,82.06,87.70,93.44,99.41,105.38,112.54,119.77,
346.15,46.38,53.55,59.45,69.88,75.83,82.49,88.13,93.95,99.94,105.89,113.11,120.11,
346.58,46.57,53.74,59.65,70.19,76.19,82.92,88.58,94.49,100.36,106.39,113.72,120.77,
347.01,46.89,53.94,59.95,70.61,76.66,83.41,89.26,95.21,101.05,107.06,114.41,121.81,
347.44,47.26,54.37,60.44,71.28,77.33,84.07,89.97,96.00,102.09,108.10,115.34,122.96,
347.87,47.53,54.72,60.81,71.86,77.99,84.75,90.65,96.74,102.94,109.07,116.29,124.04,
348.30,47.84,55.08,61.27,72.47,78.68,85.49,91.50,97.63,103.88,110.06,117.36,125.12,
348.73,48.33,55.63,61.93,73.38,79.58,86.51,92.56,98.79,105.21,111.38,118.68,126.49,
349.16,48.72,56.12,62.45,74.14,80.41,87.38,93.50,99.84,106.22,112.48,119.81,127.88,
349.59,49.05,56.49,62.90,74.72,81.08,88.07,94.21,100.69,106.94,113.40,120.87,129.06,
350.02,49.08,56.45,62.86,74.72,81.07,88.16,94.32,100.86,107.14,113.62,121.01,129.30,
350.44,49.45,56.88,63.35,75.38,81.85,89.06,95.29,101.88,108.17,114.68,122.14,130.55,
350.87,49.83,57.36,63.85,76.09,82.67,89.89,96.25,102.77,109.17,115.83,123.42,131.85,
351.30,50.25,57.82,64.40,76.88,83.44,90.68,97.21,103.74,110.25,116.94,124.63,133.34,
351.73,50.65,58.25,64.89,77.54,84.19,91.52,98.09,104.70,111.17,118.10,125.73,134.27,
352.16,51.07,58.70,65.37,78.19,84.96,92.34,98.97,105.82,112.07,119.13,126.94,135.36,
352.59,51.41,58.96,65.73,78.64,85.58,93.03,99.69,106.62,112.81,119.98,127.82,136.49,
353.02,51.45,58.97,65.87,78.78,85.81,93.23,99.82,106.95,113.11,120.30,128.07,136.82,
353.45,51.33,58.89,65.80,78.69,85.82,93.26,99.85,106.84,113.07,120.38,128.05,136.82,
353.88,51.18,58.70,65.68,78.48,85.71,93.21,99.78,106.71,112.92,120.22,127.97,136.65,
354.31,50.89,58.34,65.32,78.15,85.30,92.80,99.30,106.22,112.54,119.66,127.28,135.94,
354.73,50.48,57.91,64.78,77.69,84.74,92.26,98.65,105.52,111.79,118.87,126.41,135.02,
355.16,50.00,57.39,64.14,77.06,84.07,91.49,97.80,104.71,110.83,117.88,125.53,134.04,
355.59,49.56,56.83,63.52,76.39,83.42,90.83,97.10,103.93,110.10,117.07,124.65,133.16,
356.02,49.28,56.52,63.17,76.05,83.09,90.52,96.83,103.53,109.73,116.73,124.13,132.72,
356.45,49.10,56.34,62.92,75.89,82.95,90.33,96.61,103.24,109.46,116.43,123.82,132.42,
356.88,48.93,56.15,62.69,75.70,82.72,90.08,96.38,102.95,109.28,116.29,123.58,132.37,
357.31,48.73,55.91,62.44,75.52,82.41,89.83,96.09,102.74,109.03,116.04,123.23,131.75,
357.74,48.56,55.71,62.19,75.29,82.21,89.72,95.95,102.61,108.75,115.75,122.96,131.34,
358.16,48.46,55.54,62.05,75.24,82.15,89.70,95.93,102.61,108.69,115.61,122.86,131.46,
358.59,48.29,55.32,61.85,75.09,81.96,89.48,95.68,102.40,108.58,115.40,122.57,131.35,
359.02,48.30,55.41,61.91,75.25,82.15,89.73,95.95,102.68,108.90,115.76,122.86,131.79,
359.45,48.46,55.62,62.08,75.54,82.61,90.25,96.54,103.16,109.52,116.28,123.55,132.42,
359.88,48.77,55.97,62.51,76.25,83.32,91.02,97.32,104.04,110.61,117.24,124.71,133.78,
360.31,49.21,56.54,63.07,77.15,84.28,92.08,98.43,105.17,111.85,118.59,126.11,135.29,
