Date,2016/04/25,2016/04/25,
Time,08:50:00,08:55:00,
Memo,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,
Exposure Time(msec),500,500,
Sensor Temp.(deg),24.5,24.6,
Power(V),5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,0.00,0.00,
288.21,0.00,0.00,
288.65,0.00,0.00,
289.08,0.00,0.00,
289.52,0.00,0.00,
289.95,0.00,0.00,
290.39,0.00,0.00,
290.82,0.00,0.00,
291.26,0.00,0.00,
291.69,0.00,0.00,
292.13,0.00,0.00,
292.56,0.00,0.00,
293.00,0.00,0.00,
293.43,0.00,0.00,
293.87,0.00,0.00,
294.30,0.00,0.00,
294.74,0.15,0.33,
295.17,0.12,0.35,
295.61,0.10,0.32,
296.04,0.20,0.32,
296.47,0.27,0.32,
296.91,0.36,0.39,
297.34,0.33,0.55,
297.78,0.43,0.53,
298.21,0.56,0.51,
298.65,0.45,0.50,
299.08,0.38,0.55,
299.51,0.50,0.55,
299.95,0.48,0.55,
300.38,0.54,0.54,
300.82,0.59,0.68,
301.25,0.64,0.76,
301.68,0.76,0.87,
302.12,0.87,1.01,
302.55,0.96,1.13,
302.99,1.05,1.30,
303.42,1.20,1.36,
303.85,1.46,1.49,
304.29,1.48,1.64,
304.72,1.61,1.77,
305.15,1.96,2.13,
305.59,2.18,2.30,
306.02,2.52,2.63,
306.46,2.79,3.13,
306.89,3.22,3.66,
307.32,3.77,4.16,
307.76,4.27,4.71,
308.19,4.86,5.37,
308.62,5.59,6.18,
309.06,6.28,6.82,
309.49,7.12,7.69,
309.92,7.78,8.59,
310.35,8.58,9.48,
310.79,9.52,10.50,
311.22,10.42,11.44,
311.65,11.50,12.55,
312.09,12.45,13.85,
312.52,13.66,15.12,
312.95,15.09,16.39,
313.38,16.26,17.75,
313.82,17.46,19.12,
314.25,18.83,20.56,
314.68,20.17,21.83,
315.12,21.47,23.24,
315.55,22.76,24.69,
315.98,24.36,26.34,
316.41,25.96,27.99,
316.85,27.41,29.51,
317.28,29.00,31.12,
317.71,30.55,32.96,
318.14,32.07,34.57,
318.57,33.78,36.16,
319.01,35.28,37.78,
319.44,36.80,39.42,
319.87,38.34,40.82,
320.30,39.98,42.36,
320.73,41.76,44.18,
321.17,43.34,46.15,
321.60,45.58,48.53,
322.03,48.00,51.05,
322.46,50.27,53.39,
322.89,52.50,55.76,
323.33,54.94,58.38,
323.76,57.31,60.90,
324.19,59.65,63.24,
324.62,61.76,65.49,
325.05,64.45,68.24,
325.48,66.85,70.73,
325.92,69.07,72.99,
326.35,71.50,75.54,
326.78,73.42,77.76,
327.21,75.41,79.76,
327.64,77.33,81.57,
328.07,78.83,83.08,
328.50,80.23,84.50,
328.93,81.24,85.60,
329.37,82.13,86.52,
329.80,83.02,87.26,
330.23,83.44,87.61,
330.66,84.52,88.66,
331.09,85.32,89.47,
331.52,85.64,89.80,
331.95,85.80,89.87,
332.38,85.98,90.25,
332.81,86.06,90.39,
333.24,86.14,90.36,
333.68,86.08,90.37,
334.11,86.40,90.70,
334.54,86.54,90.83,
334.97,86.64,90.91,
335.40,87.15,91.27,
335.83,87.56,91.73,
