Date,2016/04/29,2016/04/29,2016/04/29,2016/04/29,2016/04/29,2016/04/29,2016/04/29,2016/04/29,2016/04/29,2016/04/29,
Time,16:00:00,16:05:00,16:10:00,16:15:00,16:20:00,16:25:00,16:30:00,16:35:00,16:40:00,16:45:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),100,100,100,200,200,200,200,200,200,200,
Sensor Temp.(deg),24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,
288.21,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
288.65,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
289.08,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
289.52,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.95,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.39,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
290.82,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.26,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.69,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.13,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
292.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.74,1.50,1.00,0.88,1.38,0.25,0.94,0.69,1.00,0.56,1.31,
295.17,1.37,1.00,1.00,1.25,0.44,0.87,0.75,0.75,0.44,1.12,
295.61,1.61,1.11,0.62,1.30,0.80,0.74,0.93,0.93,0.62,0.93,
296.04,1.71,0.61,0.49,1.10,0.98,0.24,0.85,1.10,0.85,1.04,
296.47,1.70,0.00,1.70,1.03,1.09,0.36,0.91,0.97,0.91,1.22,
296.91,1.69,0.36,1.69,1.20,0.84,0.90,0.96,1.51,1.08,1.57,
297.34,2.14,0.48,1.78,1.13,0.71,1.01,1.13,1.48,1.01,1.43,
297.78,2.17,1.45,1.81,1.33,0.84,1.08,1.63,1.15,0.84,1.33,
298.21,2.90,1.94,2.30,2.06,0.60,1.39,1.81,1.21,0.67,1.57,
298.65,2.99,1.55,2.87,2.21,0.84,1.61,1.73,1.14,0.78,1.37,
299.08,2.87,1.08,3.11,2.21,1.38,1.67,1.49,1.38,1.14,1.20,
299.51,2.76,1.92,3.00,2.58,1.80,2.04,1.74,1.80,1.20,1.80,
299.95,2.75,2.75,3.11,3.05,1.91,2.57,2.09,2.03,1.38,2.27,
300.38,3.08,2.49,3.08,3.32,2.01,3.02,2.19,2.13,1.48,2.61,
300.82,3.31,3.07,3.66,3.37,2.42,3.19,2.48,2.18,1.71,2.66,
301.25,4.05,4.52,3.69,3.87,3.03,3.21,3.09,2.80,2.20,2.86,
301.68,4.73,4.61,4.26,4.14,3.55,3.37,3.19,3.25,2.96,3.13,
302.12,5.40,5.05,5.99,4.40,4.11,3.87,3.23,3.40,3.46,3.17,
302.55,5.99,5.99,6.92,5.10,4.52,4.93,3.58,4.34,4.11,3.93,
302.99,6.86,6.97,7.20,5.69,4.94,5.58,4.13,5.00,4.47,4.30,
303.42,7.98,8.33,8.22,6.51,5.58,6.34,4.93,5.22,4.87,4.87,
303.85,8.96,9.90,9.55,7.96,6.31,7.37,5.72,5.84,5.19,5.89,
