Date,2016/05/17,2016/05/17,2016/05/17,2016/05/17,2016/05/17,
Time,08:35:00,08:40:00,08:45:00,08:50:00,08:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),500,500,500,500,500,
Sensor Temp.(deg),24.6,24.6,24.6,24.6,24.6,
Power(V),5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,0.00,0.00,0.00,-0.00,0.00,
288.21,0.00,-0.00,0.00,-0.00,0.00,
288.65,0.00,-0.00,0.00,-0.00,0.00,
289.08,0.00,-0.00,0.00,-0.00,0.00,
289.52,0.00,-0.00,0.00,0.00,0.00,
289.95,0.00,-0.00,0.00,0.00,0.00,
290.39,0.00,0.00,0.00,0.00,0.00,
290.82,0.00,0.00,0.00,0.00,0.00,
291.26,0.00,0.00,0.00,0.00,0.00,
291.69,0.00,-0.00,0.00,0.00,0.00,
292.13,0.00,0.00,0.00,0.00,0.00,
292.56,0.00,0.00,0.00,0.00,0.00,
293.00,0.00,0.00,0.00,0.00,0.00,
293.43,0.00,0.00,0.00,0.00,0.00,
293.87,0.00,-0.00,0.00,0.00,0.00,
294.30,0.00,-0.00,0.00,0.00,0.00,
294.74,0.18,0.08,0.05,0.38,0.23,
295.17,0.07,0.17,0.10,0.45,0.40,
295.61,0.02,0.17,0.12,0.52,0.47,
296.04,0.17,0.20,0.10,0.42,0.54,
296.47,0.22,0.27,0.10,0.34,0.58,
296.91,0.17,0.17,0.14,0.31,0.55,
297.34,0.21,0.00,0.12,0.31,0.48,
297.78,0.24,0.12,0.19,0.36,0.41,
298.21,0.27,0.31,0.24,0.53,0.53,
298.65,0.24,0.22,0.29,0.72,0.72,
299.08,0.24,0.19,0.33,0.69,0.67,
299.51,0.07,0.31,0.46,0.62,0.67,
299.95,0.17,0.26,0.50,0.79,0.67,
300.38,0.19,0.38,0.57,0.90,0.78,
300.82,0.17,0.50,0.66,0.94,0.97,
301.25,0.19,0.62,0.76,1.09,1.24,
301.68,0.35,0.61,0.78,1.11,1.39,
302.12,0.45,0.68,0.87,1.13,1.64,
302.55,0.42,0.68,1.01,1.20,1.85,
302.99,0.51,0.58,1.14,1.35,1.95,
303.42,0.68,0.77,1.31,1.57,2.14,
303.85,0.78,1.08,1.58,1.98,2.52,
304.29,0.85,1.22,1.79,2.42,3.08,
304.72,0.91,1.35,2.01,2.69,3.46,
