Date,2016/05/30,2016/05/30,2016/05/30,
Time,08:45:00,08:50:00,08:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,
Exposure Time(msec),1000,1000,1000,
Sensor Temp.(deg),24.7,24.6,24.7,
Power(V),5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,-0.00,0.00,0.00,
288.21,-0.00,0.00,-0.00,
288.65,-0.00,0.00,-0.00,
289.08,-0.00,0.00,-0.00,
289.52,-0.00,0.00,0.00,
289.95,-0.00,-0.00,-0.00,
290.39,-0.00,-0.00,0.00,
290.82,-0.00,-0.00,0.00,
291.26,0.00,-0.00,0.00,
291.69,-0.00,-0.00,0.00,
292.13,0.00,0.00,0.00,
292.56,0.00,-0.00,0.00,
293.00,0.00,-0.00,0.00,
293.43,0.00,-0.00,0.00,
293.87,0.00,0.00,-0.00,
294.30,0.00,0.00,-0.00,
294.74,0.09,0.06,0.14,
295.17,0.09,0.02,0.16,
295.61,0.15,0.02,0.15,
296.04,0.17,0.04,0.15,
296.47,0.16,0.01,0.19,
296.91,0.16,0.07,0.22,
297.34,0.19,0.08,0.23,
297.78,0.22,0.13,0.20,
298.21,0.25,0.12,0.18,
298.65,0.30,0.07,0.14,
299.08,0.23,0.07,0.19,
299.51,0.24,0.14,0.20,
299.95,0.23,0.20,0.24,
300.38,0.25,0.21,0.39,
300.82,0.25,0.21,0.44,
301.25,0.30,0.30,0.43,
301.68,0.33,0.31,0.45,
302.12,0.36,0.32,0.53,
302.55,0.39,0.42,0.61,
302.99,0.48,0.55,0.60,
303.42,0.59,0.67,0.73,
303.85,0.61,0.74,0.86,
304.29,0.72,0.81,0.97,
304.72,0.79,0.91,1.12,
305.15,0.85,1.07,1.33,
305.59,0.97,1.27,1.57,
306.02,1.10,1.46,1.85,
306.46,1.24,1.65,2.10,
306.89,1.43,1.92,2.33,
