Date,2016/06/29,2016/06/29,2016/06/29,2016/06/29,2016/06/29,2016/06/29,2016/06/29,2016/06/29,2016/06/29,2016/06/29,2016/06/29,2016/06/29,2016/06/29,2016/06/29,
Time,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:40:00,13:45:00,13:50:00,13:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),200,100,100,100,100,100,100,100,100,100,200,100,200,100,
Sensor Temp.(deg),24.7,24.7,24.8,24.9,24.8,24.7,24.8,24.8,24.7,24.7,24.8,24.9,24.8,24.9,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
288.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
288.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
289.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
290.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
291.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
292.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.74,1.38,2.00,4.88,4.38,5.25,4.75,5.25,2.88,5.25,4.00,2.31,5.13,2.19,3.75,
295.17,1.25,2.50,5.37,5.12,5.62,5.00,5.24,3.00,5.74,4.37,1.94,5.12,1.81,3.75,
295.61,1.54,2.35,4.94,5.19,6.30,4.57,5.06,3.58,5.80,4.82,2.10,5.80,2.04,4.08,
296.04,1.77,2.69,5.37,5.98,7.32,4.88,5.25,4.88,5.86,5.86,2.69,5.74,2.69,3.66,
296.47,1.88,3.77,5.59,6.44,7.78,5.83,6.56,4.98,6.20,6.32,2.92,6.44,3.10,4.13,
296.91,2.05,3.13,5.54,6.26,8.43,6.87,7.95,5.42,7.23,6.75,3.07,7.47,3.37,5.78,
297.34,2.38,3.44,6.29,6.89,9.15,7.72,8.55,6.41,7.48,7.72,3.68,8.91,3.62,6.29,
297.78,3.13,4.10,7.35,8.32,9.28,8.80,9.40,7.71,8.92,9.16,4.22,9.76,4.28,6.27,
298.21,3.39,4.47,8.59,9.43,10.16,10.64,11.49,8.22,11.49,10.64,4.54,10.88,4.84,7.01,
298.65,3.65,4.78,11.00,11.24,11.95,11.95,12.55,9.44,12.91,11.59,5.14,12.43,5.26,8.25,
299.08,4.30,5.26,12.91,13.63,14.11,12.67,12.91,11.12,13.63,13.03,6.16,14.47,6.34,9.57,
299.51,4.86,6.00,14.41,15.61,15.61,14.89,15.13,12.13,15.49,14.41,7.03,16.09,7.39,10.57,
299.95,5.56,7.65,16.27,16.74,17.10,17.22,17.70,13.75,17.82,16.03,7.77,18.42,8.43,12.20,
300.38,6.22,8.76,18.59,18.95,20.01,19.18,19.66,15.87,20.25,18.71,8.59,19.78,9.41,13.86,
300.82,7.14,10.04,21.25,21.61,22.20,21.02,21.49,17.95,22.43,21.37,9.68,21.61,10.39,15.35,
301.25,8.69,11.54,23.56,24.04,24.52,23.56,24.40,20.83,25.59,24.28,10.95,24.28,11.84,17.38,
301.68,9.75,13.12,26.83,26.95,27.66,26.83,27.54,24.23,28.84,27.07,12.53,27.19,13.65,19.86,
302.12,11.04,14.79,30.88,30.06,30.64,30.06,30.76,27.00,31.23,30.17,14.27,30.29,15.62,22.66,
302.55,12.44,16.08,34.03,33.45,33.68,33.80,34.74,29.69,34.74,32.86,16.02,34.50,17.43,26.29,
302.99,13.83,17.43,37.77,36.26,36.84,37.42,38.58,32.65,38.00,35.91,17.61,38.70,19.06,29.40,
303.42,15.73,20.07,42.84,40.96,40.96,41.55,43.20,36.74,42.84,40.61,19.78,43.31,21.71,32.63,
303.85,17.21,22.28,47.86,46.09,45.27,46.33,48.09,40.08,47.98,45.15,21.75,47.27,24.11,35.48,
304.29,18.79,24.78,52.73,50.73,50.15,50.85,52.50,43.69,52.50,48.86,23.31,51.56,26.07,39.23,
304.72,20.49,27.44,57.33,55.70,55.11,54.18,56.05,47.76,56.40,53.01,25.69,56.28,28.55,43.09,
305.15,22.54,30.25,62.13,61.20,60.61,59.56,61.31,52.32,60.85,58.39,28.20,60.96,31.53,46.25,
305.59,24.55,33.78,66.62,65.69,65.35,65.00,66.97,56.29,66.27,63.02,30.29,65.81,34.12,50.14,
306.02,26.75,36.63,71.75,70.60,71.41,70.25,72.91,60.89,71.87,68.87,32.76,71.52,36.74,55.35,
306.46,29.14,39.50,77.74,76.59,77.51,76.01,78.55,66.22,77.39,75.55,35.70,77.28,39.62,59.43,
306.89,32.50,43.10,84.46,83.53,83.53,83.41,86.09,72.93,84.93,82.83,38.97,84.46,43.40,64.77,
307.32,35.20,46.78,91.57,90.87,90.99,91.69,94.26,78.94,93.09,89.58,42.34,91.92,47.07,70.64,
307.76,37.79,50.16,100.09,98.22,98.45,99.15,101.37,85.27,99.62,96.59,45.73,99.27,50.57,76.41,
308.19,40.60,53.51,107.50,106.21,106.33,106.80,108.78,91.14,107.03,103.76,49.37,107.26,54.74,82.02,
308.62,43.79,57.30,115.06,113.89,114.24,114.94,117.29,97.80,115.06,110.60,52.83,115.77,58.88,87.94,
309.06,46.65,61.77,122.60,122.13,122.48,123.19,125.19,104.36,122.95,118.72,56.18,123.90,63.01,93.66,
309.49,49.66,65.98,131.38,130.90,131.85,131.49,133.62,111.51,131.49,127.35,59.78,131.49,67.17,99.45,
309.92,52.64,70.03,139.11,138.88,139.71,139.47,141.24,118.29,139.47,135.09,62.93,138.88,70.74,105.05,
310.35,56.09,74.15,147.11,146.52,148.54,147.11,149.49,126.08,147.71,143.07,66.55,146.87,74.92,111.46,
310.79,59.08,78.26,154.63,154.39,156.17,155.10,157.24,133.96,155.70,151.66,70.37,154.27,79.10,116.86,
311.22,61.88,82.31,161.77,161.30,163.90,162.60,164.97,139.98,162.72,158.93,73.72,161.30,83.02,122.45,
311.65,65.30,85.96,169.89,169.53,172.03,171.20,174.30,146.91,171.20,167.27,77.56,170.25,87.33,129.89,
312.09,68.13,89.33,177.23,176.40,179.01,178.42,182.46,153.12,178.06,174.38,81.13,178.42,90.75,135.54,
312.52,71.89,93.67,186.25,185.66,187.21,187.57,191.52,161.01,187.21,183.62,85.11,187.21,95.58,141.63,
312.95,74.89,97.93,195.13,194.77,195.74,196.70,201.27,167.95,196.46,191.89,88.84,195.86,99.85,147.97,
313.38,77.96,102.26,204.28,203.56,204.40,204.64,209.34,174.73,204.16,199.34,92.13,203.92,103.53,154.36,
313.82,80.66,105.82,212.24,211.39,212.24,210.55,215.61,181.30,210.67,206.10,95.59,211.15,107.50,159.87,
314.25,83.79,109.67,219.46,219.34,219.82,218.14,223.07,187.44,217.89,213.08,98.83,218.26,111.60,164.81,
314.68,86.79,114.23,226.41,226.41,227.25,225.45,231.23,193.31,225.21,220.15,102.07,226.05,115.19,170.68,
315.12,89.39,117.78,233.40,233.16,234.84,232.20,238.56,199.54,232.20,227.52,105.11,232.08,118.44,176.13,
315.55,92.00,121.20,240.96,239.64,241.68,238.56,245.26,205.42,238.80,234.38,108.40,238.33,121.44,180.30,
315.98,96.12,126.27,250.01,249.17,250.25,247.72,254.71,213.71,248.56,243.86,112.52,247.24,126.09,187.42,
316.41,99.28,130.29,258.39,257.43,258.64,256.58,263.47,221.05,257.43,252.11,116.33,255.25,130.10,193.61,
316.85,102.02,133.93,266.18,264.62,265.58,263.41,270.28,227.04,263.65,258.59,119.54,262.45,133.51,198.61,
317.28,104.88,136.71,273.67,272.83,273.07,270.66,277.40,232.27,270.30,265.12,122.63,270.30,137.14,204.47,
317.71,107.89,140.36,281.21,280.49,280.25,278.68,285.55,238.68,277.96,271.69,125.85,278.80,140.61,210.61,
318.14,110.35,143.53,288.50,287.06,286.94,285.13,292.11,244.50,284.53,277.80,128.44,285.13,143.83,215.17,
318.57,112.93,146.65,295.82,294.26,294.62,292.21,298.34,250.62,291.97,284.76,131.14,291.13,147.01,219.61,
319.01,115.33,150.20,303.41,302.08,301.96,299.08,305.09,256.75,299.08,290.90,133.48,297.27,149.72,224.52,
319.44,118.20,153.47,310.06,308.74,309.46,304.41,311.14,262.47,305.74,296.96,136.40,304.05,152.93,230.14,
319.87,120.17,156.08,315.87,314.67,315.03,310.13,316.70,268.18,310.85,302.96,139.05,308.93,155.84,233.40,
320.30,122.75,160.33,321.86,320.78,321.86,317.45,324.00,273.73,317.45,309.23,141.81,315.54,158.96,238.59,
320.73,125.63,164.29,329.90,328.23,330.37,325.61,333.23,280.52,325.73,317.52,145.02,323.95,162.33,246.02,
321.17,128.51,167.37,337.57,335.33,337.57,332.84,340.77,287.54,332.96,324.92,148.26,331.90,165.59,251.35,
321.60,133.45,172.75,349.18,347.51,348.35,344.90,352.51,298.29,345.85,336.58,153.07,343.71,171.32,259.89,
322.03,137.82,178.60,361.25,359.94,360.30,357.68,366.38,308.44,358.87,348.62,157.91,356.37,176.93,269.09,
322.46,141.79,183.58,373.23,371.44,371.92,368.59,377.62,318.29,369.90,359.20,162.48,368.11,181.74,277.87,
322.89,145.60,188.03,383.86,383.03,382.80,378.31,387.76,326.90,379.13,368.85,166.82,378.78,186.79,286.00,
323.33,149.95,193.45,395.63,394.81,394.81,390.56,400.35,336.57,391.03,379.60,171.59,390.91,192.51,295.07,
323.76,154.02,200.07,407.19,405.78,406.60,402.14,413.17,346.29,402.61,390.64,176.31,402.73,197.90,303.81,
324.19,157.99,205.02,418.55,416.91,418.66,412.25,423.91,355.61,414.23,402.00,180.43,413.42,202.80,311.55,
324.62,162.05,210.43,429.66,428.27,430.24,423.29,434.98,365.19,425.61,413.34,184.79,423.87,207.42,319.23,
325.05,167.36,217.33,443.33,441.83,444.14,436.74,449.35,377.29,439.98,427.14,190.61,437.67,213.86,329.87,
325.48,171.88,223.09,455.60,453.76,456.52,448.36,461.23,388.59,451.46,439.16,195.79,449.85,219.52,338.48,
325.92,175.69,228.52,466.72,464.79,467.41,459.43,471.85,397.88,462.05,449.86,200.14,460.34,224.42,346.03,
326.35,180.11,233.38,478.78,476.51,479.46,471.74,484.11,407.42,473.90,461.08,204.96,473.11,229.69,355.79,
326.78,183.56,237.54,488.02,485.77,488.47,480.93,493.53,415.36,482.51,470.14,208.58,483.18,233.61,362.61,
327.21,187.06,241.37,497.49,495.25,497.04,489.67,502.18,422.95,492.35,478.83,212.20,491.68,238.02,368.42,
327.64,189.32,244.17,506.00,504.00,505.44,497.89,510.22,429.27,501.00,486.79,214.86,498.56,241.12,373.75,
328.07,191.12,246.97,512.90,510.03,511.91,503.64,515.98,433.69,506.51,491.86,216.63,504.30,242.90,377.95,
328.50,192.70,249.09,518.10,515.80,517.55,507.71,519.85,438.13,510.77,496.55,218.63,509.13,245.21,381.79,
328.93,193.62,249.92,520.87,518.70,520.33,510.90,522.17,440.45,513.18,498.65,219.68,511.01,246.29,382.80,
329.37,194.42,251.75,523.05,520.36,522.62,513.38,524.66,442.14,515.96,500.59,220.00,513.92,246.86,384.23,
329.80,194.98,252.47,525.19,522.85,525.19,515.39,527.33,444.20,518.37,503.03,220.45,515.82,247.30,385.69,
330.23,194.94,251.76,525.35,523.56,525.45,515.65,527.04,444.70,518.71,503.95,220.24,516.18,246.86,385.66,
330.66,196.63,253.13,529.49,527.81,528.65,520.03,531.38,448.86,522.87,508.04,221.54,519.82,248.24,388.21,
331.09,196.95,253.76,531.65,529.98,530.50,522.35,533.94,450.51,525.38,510.24,222.07,522.04,248.91,389.94,
331.52,196.69,253.29,532.74,530.47,530.26,522.40,533.88,450.96,524.47,510.00,221.60,522.20,248.28,389.45,
331.95,195.71,251.34,530.58,529.05,528.84,521.18,532.01,449.15,523.02,508.00,220.44,520.87,247.10,388.77,
332.38,195.12,250.28,529.80,527.78,527.47,520.59,532.03,448.13,522.21,506.42,219.36,520.39,246.13,388.32,
332.81,194.31,249.66,527.98,526.27,525.77,518.86,530.28,446.93,521.06,505.53,218.20,518.86,245.00,386.71,
333.24,193.19,248.10,526.63,524.85,524.35,516.92,528.22,445.65,519.99,503.83,216.78,516.13,243.74,384.39,
333.68,192.15,246.92,525.42,524.05,522.97,515.42,526.99,444.71,518.07,502.28,215.20,514.63,242.12,383.03,
334.11,192.41,247.53,525.52,524.55,523.77,515.11,527.37,445.45,518.52,502.76,215.08,515.70,241.89,383.37,
334.54,192.21,247.13,525.63,524.96,524.19,515.05,526.78,446.27,518.22,503.31,214.72,515.53,241.70,382.39,
334.97,191.97,247.13,525.59,524.55,524.36,515.34,527.11,445.93,518.47,502.99,214.14,515.91,241.10,382.04,
335.40,192.35,247.36,527.39,526.17,526.54,517.16,529.92,447.50,520.82,505.14,214.13,518.19,241.21,384.04,
335.83,192.79,247.93,529.44,528.70,528.88,518.96,531.85,449.49,523.04,507.83,214.73,521.00,241.53,385.39,
336.26,194.17,249.00,533.45,532.54,532.17,522.98,535.57,453.00,527.30,511.96,215.80,524.73,242.98,387.60,
336.69,194.81,250.46,537.16,536.16,535.61,526.89,539.61,455.49,531.71,515.45,216.66,528.62,243.96,389.90,
337.12,195.53,251.49,540.95,539.33,539.06,529.73,542.65,458.37,534.39,518.60,217.47,532.15,244.62,391.96,
337.55,196.59,252.56,544.72,543.39,543.04,533.18,545.43,461.36,537.71,521.91,218.43,536.38,245.86,394.69,
337.98,197.58,253.52,547.97,546.65,546.65,536.55,548.93,464.19,541.38,524.96,219.36,540.15,247.07,396.92,
338.41,198.66,255.69,552.07,550.15,550.50,540.16,553.11,467.04,545.29,528.94,220.39,544.24,248.21,399.31,
338.84,199.60,256.81,554.90,553.78,554.55,543.03,555.93,469.78,548.71,532.54,221.26,547.59,248.99,401.17,
339.27,200.29,257.73,557.69,556.76,557.69,545.29,558.80,472.12,551.23,535.17,221.66,550.04,249.61,402.44,
339.70,201.70,259.15,561.83,560.90,562.16,549.09,563.01,476.12,555.84,539.81,222.92,554.74,250.67,405.85,
340.13,202.82,260.68,565.58,564.49,566.50,552.60,566.50,480.00,560.22,543.89,224.26,558.13,251.97,408.57,
340.56,203.39,260.89,567.26,566.10,568.51,554.82,568.34,481.79,561.79,545.85,224.76,560.29,252.60,409.93,
340.99,203.55,260.52,567.85,566.86,569.16,556.08,569.49,482.30,562.58,546.87,224.86,561.76,252.34,411.14,
341.42,203.62,260.22,568.55,567.98,569.37,556.71,570.76,482.96,563.16,547.73,224.86,563.08,251.97,411.90,
