Date,2016/09/21,2016/09/21,2016/09/21,2016/09/21,2016/09/21,2016/09/21,2016/09/21,2016/09/21,
Time,16:20:00,16:25:00,16:30:00,16:35:00,16:40:00,16:45:00,16:50:00,16:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),200,200,200,200,200,200,200,200,
Sensor Temp.(deg),25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
288.21,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
288.65,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
289.08,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
289.52,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
289.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
290.39,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,
290.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
291.26,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,
291.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
292.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
292.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
293.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
293.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
293.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
294.74,0.81,1.06,1.25,0.56,0.75,0.63,0.63,0.44,
295.17,0.87,1.00,1.31,0.62,0.69,0.56,0.69,0.06,
295.61,1.11,1.11,1.30,0.49,0.74,0.93,1.05,0.12,
296.04,1.10,1.28,0.85,0.61,0.61,1.10,0.79,0.06,
296.47,1.09,1.34,0.79,0.67,0.73,0.97,0.61,0.24,
296.91,1.02,1.39,1.02,1.08,0.60,1.08,0.66,0.60,
297.34,1.19,1.37,1.07,0.95,0.83,1.13,0.77,0.83,
297.78,1.27,1.21,1.27,0.96,0.72,1.39,1.02,0.72,
298.21,1.33,1.09,1.39,1.09,0.79,1.39,1.21,0.60,
298.65,1.55,1.20,1.55,1.49,1.02,1.02,1.08,0.66,
299.08,1.85,1.79,2.09,1.85,1.43,1.32,0.96,0.78,
299.51,1.92,2.28,2.10,2.16,1.74,1.56,1.20,0.60,
299.95,2.15,2.57,2.15,2.21,2.03,1.85,1.50,0.84,
300.38,2.55,3.14,2.49,2.66,1.89,2.13,1.48,1.60,
300.82,3.19,3.72,2.95,2.89,2.18,2.54,1.95,1.89,
301.25,3.63,3.99,3.33,3.15,2.50,3.15,2.56,1.90,
301.68,4.26,3.96,3.78,3.72,2.66,3.72,2.90,2.36,
302.12,4.76,4.70,4.40,4.52,3.29,4.05,2.88,2.94,
