Date,2016/09/28,
Time,16:00:00,
Memo,EKO WISER,
Sensor,MS-711,
Exposure Time(msec),200,
Sensor Temp.(deg),25.3,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
287.77,0.00,
288.21,0.00,
288.65,0.00,
289.08,0.00,
289.52,0.00,
289.95,0.00,
290.39,0.00,
290.82,0.00,
291.26,0.00,
291.69,0.00,
292.13,0.00,
292.56,0.00,
293.00,0.00,
293.43,0.00,
293.87,0.00,
294.30,0.00,
294.74,0.81,
295.17,0.94,
295.61,1.23,
296.04,1.40,
296.47,1.94,
296.91,1.81,
297.34,2.02,
297.78,2.29,
298.21,2.30,
298.65,2.63,
299.08,3.17,
299.51,3.36,
299.95,3.59,
300.38,4.09,
300.82,4.90,
301.25,5.65,
301.68,6.44,
302.12,7.69,
302.55,8.45,
302.99,9.01,
303.42,10.04,
303.85,11.20,
304.29,12.57,
304.72,14.13,
305.15,15.65,
305.59,17.47,
306.02,18.95,
306.46,20.90,
306.89,23.24,
307.32,25.38,
307.76,27.88,
308.19,30.26,
308.62,32.76,
309.06,35.30,
309.49,38.19,
309.92,41.23,
310.35,44.50,
310.79,47.21,
311.22,50.45,
311.65,53.63,
312.09,56.13,
312.52,59.39,
312.95,62.62,
313.38,65.96,
313.82,69.22,
314.25,72.41,
314.68,75.89,
315.12,78.64,
315.55,81.48,
315.98,85.57,
316.41,88.65,
316.85,91.66,
317.28,94.71,
317.71,97.83,
318.14,100.55,
318.57,103.61,
319.01,106.97,
319.44,110.08,
319.87,112.64,
320.30,116.20,
320.73,119.50,
321.17,122.30,
321.60,127.27,
322.03,132.28,
322.46,136.85,
322.89,141.41,
323.33,146.71,
323.76,151.73,
324.19,156.01,
324.62,160.66,
325.05,166.61,
325.48,171.19,
325.92,175.86,
326.35,180.79,
326.78,184.29,
327.21,188.01,
327.64,191.26,
328.07,193.99,
328.50,196.42,
328.93,197.79,
329.37,199.47,
329.80,200.36,
330.23,200.52,
330.66,202.51,
331.09,203.48,
331.52,203.56,
331.95,203.27,
332.38,203.01,
332.81,202.93,
333.24,202.21,
333.68,201.76,
334.11,202.44,
334.54,202.31,
334.97,202.60,
335.40,203.33,
335.83,204.20,
336.26,205.65,
336.69,207.12,
337.12,208.63,
337.55,210.40,
337.98,212.03,
338.41,214.18,
338.84,215.67,
339.27,216.60,
339.70,218.53,
340.13,220.24,
340.56,221.10,
340.99,221.82,
341.42,222.24,
341.85,222.88,
342.28,222.75,
342.71,222.95,
343.14,223.80,
343.57,223.91,
344.00,224.08,
344.43,224.55,
344.86,224.74,
345.29,225.74,
345.72,226.64,
346.15,228.31,
346.58,229.85,
347.01,231.57,
347.44,234.31,
347.87,236.38,
348.30,238.21,
348.73,241.10,
349.16,243.47,
349.59,245.60,
350.02,246.23,
350.44,248.88,
350.87,251.71,
351.30,254.06,
351.73,256.47,
352.16,259.03,
352.59,260.70,
353.02,261.66,
353.45,261.82,
353.88,261.38,
354.31,260.22,
354.73,258.92,
355.16,257.38,
355.59,256.08,
356.02,255.57,
356.45,255.80,
356.88,255.65,
357.31,255.15,
357.74,255.01,
358.16,255.12,
358.59,255.17,
359.02,256.63,
359.45,258.44,
359.88,261.34,
360.31,264.67,
360.73,268.99,
361.16,274.02,
361.59,279.35,
362.02,285.01,
362.45,290.07,
362.88,294.83,
363.30,299.61,
363.73,304.84,
364.16,309.49,
364.59,314.04,
365.02,318.75,
365.44,322.99,
365.87,326.92,
366.30,330.08,
366.73,333.54,
367.16,336.60,
367.58,338.82,
368.01,340.54,
368.44,341.07,
368.87,341.33,
369.29,340.10,
369.72,338.34,
370.15,335.76,
370.58,333.52,
371.00,331.99,
371.43,330.30,
371.86,328.81,
372.29,328.19,
372.71,328.20,
373.14,328.23,
373.57,329.68,
374.00,331.47,
374.42,333.85,
374.85,336.53,
375.28,339.44,
375.70,342.54,
376.13,345.73,
376.56,349.07,
376.99,351.43,
377.41,352.80,
377.84,353.99,
378.27,353.66,
378.69,351.80,
379.12,349.05,
379.55,345.53,
379.97,340.44,
380.40,335.04,
380.83,329.42,
381.25,324.59,
381.68,320.57,
382.11,317.40,
382.53,315.52,
382.96,314.10,
383.39,313.85,
383.81,314.18,
384.24,314.64,
384.67,316.37,
385.09,319.48,
385.52,324.04,
385.95,328.77,
386.37,334.45,
386.80,340.92,
387.22,347.33,
387.65,353.48,
388.08,358.74,
388.50,363.08,
388.93,366.10,
389.36,367.85,
389.78,368.42,
390.21,367.95,
390.63,367.18,
391.06,366.68,
391.49,366.04,
391.91,365.47,
392.34,365.71,
392.76,365.87,
393.19,365.56,
393.61,365.16,
394.04,365.47,
394.47,367.12,
394.89,370.85,
395.32,377.17,
395.74,387.05,
396.17,399.37,
396.59,414.71,
397.02,431.23,
397.45,448.02,
397.87,464.91,
398.30,480.94,
398.72,496.26,
399.15,511.21,
399.57,526.22,
400.00,541.78,
400.42,556.02,
400.85,568.69,
401.27,580.31,
401.70,589.20,
402.12,594.97,
402.55,599.67,
402.97,601.88,
403.40,603.51,
403.82,604.56,
404.25,605.16,
404.67,605.54,
405.10,605.90,
405.52,606.81,
405.95,607.65,
406.37,608.25,
406.80,609.68,
407.22,611.98,
407.65,613.11,
408.07,615.06,
408.50,618.20,
408.92,621.68,
409.35,625.82,
409.77,630.13,
410.20,634.56,
410.62,638.70,
411.04,643.16,
411.47,646.81,
411.89,649.83,
412.32,653.36,
412.74,656.94,
413.17,659.47,
413.59,661.43,
414.02,664.17,
414.44,666.98,
414.86,669.30,
415.29,670.51,
415.71,671.67,
416.14,672.21,
416.56,672.00,
416.99,671.93,
417.41,671.56,
417.83,672.61,
418.26,673.34,
418.68,673.63,
419.11,673.41,
419.53,673.52,
419.95,674.30,
420.38,674.92,
420.80,674.29,
421.23,674.23,
421.65,674.33,
422.07,673.82,
422.50,673.78,
422.92,673.29,
423.34,672.95,
423.77,672.32,
424.19,670.70,
424.62,668.09,
425.04,664.75,
425.46,661.55,
425.89,657.96,
426.31,652.80,
426.73,648.15,
427.16,644.00,
427.58,638.20,
428.00,633.05,
428.43,628.96,
428.85,626.52,
429.27,625.77,
429.70,626.38,
430.12,628.44,
430.54,630.82,
430.97,634.83,
431.39,639.22,
431.81,643.89,
432.24,650.28,
432.66,658.28,
433.08,666.62,
433.51,675.57,
433.93,685.54,
434.35,694.71,
434.77,702.85,
435.20,708.78,
435.62,713.90,
436.04,717.94,
436.47,720.29,
436.89,723.39,
437.31,725.55,
437.73,729.28,
438.16,734.27,
438.58,739.08,
439.00,743.94,
439.43,748.37,
439.85,753.21,
440.27,757.52,
440.69,761.82,
441.12,767.99,
441.54,774.17,
441.96,779.09,
442.38,784.62,
442.81,789.93,
443.23,794.98,
443.65,800.24,
444.07,805.28,
444.50,809.49,
444.92,813.32,
445.34,817.73,
445.76,822.18,
446.19,825.40,
446.61,830.34,
447.03,835.73,
447.45,840.65,
447.87,845.29,
448.30,851.38,
448.72,856.06,
449.14,860.77,
449.56,864.68,
449.99,868.41,
450.41,871.24,
450.83,872.90,
451.25,875.16,
451.67,875.18,
452.10,876.30,
452.52,878.53,
452.94,879.80,
453.36,881.16,
453.78,881.57,
454.20,882.74,
454.63,883.13,
455.05,883.40,
455.47,885.17,
455.89,887.51,
456.31,888.41,
456.74,890.07,
457.16,892.73,
457.58,894.52,
458.00,897.58,
458.42,900.47,
458.84,902.90,
459.27,904.85,
459.69,906.97,
460.11,909.33,
