nm\t A
1400.000000\t 0.029224
1399.000000\t 0.030216
1398.000000\t 0.031028
1397.000000\t 0.032014
1396.000000\t 0.032788
1395.000000\t 0.033856
1394.000000\t 0.034504
1393.000000\t 0.035510
1392.000000\t 0.036174
1391.000000\t 0.036888
1390.000000\t 0.037460
1389.000000\t 0.038147
1388.000000\t 0.038303
1387.000000\t 0.038628
1386.000000\t 0.038554
1385.000000\t 0.038474
1384.000000\t 0.037984
1383.000000\t 0.037631
1382.000000\t 0.036764
1381.000000\t 0.036097
1380.000000\t 0.035000
1379.000000\t 0.034113
1378.000000\t 0.032870
1377.000000\t 0.031892
1376.000000\t 0.030489
1375.000000\t 0.029226
1374.000000\t 0.028084
1373.000000\t 0.026941
1372.000000\t 0.025714
1371.000000\t 0.024565
1370.000000\t 0.023352
1369.000000\t 0.022528
1368.000000\t 0.021479
1367.000000\t 0.020725
1366.000000\t 0.019898
1365.000000\t 0.019336
1364.000000\t 0.018705
1363.000000\t 0.018392
1362.000000\t 0.017888
1361.000000\t 0.017821
1360.000000\t 0.017496
1359.000000\t 0.017235
1358.000000\t 0.017193
1357.000000\t 0.017203
1356.000000\t 0.017326
1355.000000\t 0.017238
1354.000000\t 0.017263
1353.000000\t 0.017296
1352.000000\t 0.017473
1351.000000\t 0.017383
1350.000000\t 0.017465
1349.000000\t 0.017542
1348.000000\t 0.017563
1347.000000\t 0.017601
1346.000000\t 0.017722
1345.000000\t 0.017802
1344.000000\t 0.017581
1343.000000\t 0.017649
1342.000000\t 0.017774
1341.000000\t 0.017854
1340.000000\t 0.017539
1339.000000\t 0.017643
1338.000000\t 0.017574
1337.000000\t 0.017430
1336.000000\t 0.017538
1335.000000\t 0.017575
1334.000000\t 0.017312
1333.000000\t 0.017258
1332.000000\t 0.017353
1331.000000\t 0.017282
1330.000000\t 0.017127
1329.000000\t 0.017077
1328.000000\t 0.017130
1327.000000\t 0.017187
1326.000000\t 0.016997
1325.000000\t 0.016913
1324.000000\t 0.017014
1323.000000\t 0.017062
1322.000000\t 0.016953
1321.000000\t 0.017016
1320.000000\t 0.016777
1319.000000\t 0.016867
1318.000000\t 0.016865
1317.000000\t 0.016882
1316.000000\t 0.016819
1315.000000\t 0.016874
1314.000000\t 0.016676
1313.000000\t 0.016666
1312.000000\t 0.016770
1311.000000\t 0.016795
1310.000000\t 0.016761
1309.000000\t 0.016824
1308.000000\t 0.016670
1307.000000\t 0.016752
1306.000000\t 0.016702
1305.000000\t 0.016691
1304.000000\t 0.016687
1303.000000\t 0.016673
1302.000000\t 0.016600
1301.000000\t 0.016738
1300.000000\t 0.016615
1299.000000\t 0.016673
1298.000000\t 0.016633
1297.000000\t 0.016622
1296.000000\t 0.016575
1295.000000\t 0.016662
1294.000000\t 0.016598
1293.000000\t 0.016733
1292.000000\t 0.016697
1291.000000\t 0.016616
1290.000000\t 0.016482
1289.000000\t 0.016479
1288.000000\t 0.016622
1287.000000\t 0.016654
1286.000000\t 0.016616
1285.000000\t 0.016622
1284.000000\t 0.016614
1283.000000\t 0.016644
1282.000000\t 0.016647
1281.000000\t 0.016673
1280.000000\t 0.016590
1279.000000\t 0.016630
1278.000000\t 0.016498
1277.000000\t 0.016490
1276.000000\t 0.016677
1275.000000\t 0.016685
1274.000000\t 0.016663
1273.000000\t 0.016758
1272.000000\t 0.016684
1271.000000\t 0.016681
1270.000000\t 0.016626
1269.000000\t 0.016628
1268.000000\t 0.016754
1267.000000\t 0.016763
1266.000000\t 0.016797
1265.000000\t 0.016794
1264.000000\t 0.016834
1263.000000\t 0.016839
1262.000000\t 0.016834
1261.000000\t 0.016896
1260.000000\t 0.016943
1259.000000\t 0.016961
1258.000000\t 0.017030
1257.000000\t 0.017040
1256.000000\t 0.016950
1255.000000\t 0.017026
1254.000000\t 0.017159
1253.000000\t 0.017222
1252.000000\t 0.017249
1251.000000\t 0.017182
1250.000000\t 0.017265
1249.000000\t 0.017304
1248.000000\t 0.017292
1247.000000\t 0.017247
1246.000000\t 0.017230
1245.000000\t 0.017137
1244.000000\t 0.017120
1243.000000\t 0.017056
1242.000000\t 0.017118
1241.000000\t 0.017100
1240.000000\t 0.017017
1239.000000\t 0.016825
1238.000000\t 0.016770
1237.000000\t 0.016735
1236.000000\t 0.016778
1235.000000\t 0.016599
1234.000000\t 0.016563
1233.000000\t 0.016518
1232.000000\t 0.016426
1231.000000\t 0.016336
1230.000000\t 0.016400
1229.000000\t 0.016267
1228.000000\t 0.016228
1227.000000\t 0.016170
1226.000000\t 0.016164
1225.000000\t 0.016125
1224.000000\t 0.016125
1223.000000\t 0.015955
1222.000000\t 0.016023
1221.000000\t 0.015980
1220.000000\t 0.015987
1219.000000\t 0.015932
