
03.10.2016	14:10:00
V	I	G
[V]	[A]	[W/m²]
0,4592	0,3172	57,8625
0,7996	0,3167	57,9334
1,2267	0,3163	57,8271
1,6280	0,3145	57,6498
1,9042	0,3146	57,4725
2,1515	0,3137	57,4371
2,4565	0,3129	57,6143
2,8965	0,3107	57,7207
3,2079	0,3098	57,8271
3,6382	0,3090	57,8625
3,9722	0,3091	57,7562
4,3350	0,3073	57,6498
4,5791	0,3053	57,4371
4,8681	0,3037	57,4016
5,2085	0,3021	57,4725
5,5681	0,3015	57,7207
5,9567	0,2984	57,8271
6,3292	0,2964	57,8271
6,6182	0,2955	57,7562
6,8879	0,2951	57,6143
7,1833	0,2926	57,5789
7,5077	0,2900	57,4016
7,8384	0,2863	57,4725
8,1756	0,2834	57,7562
8,5127	0,2825	57,8980
8,8242	0,2802	57,8271
9,1068	0,2762	57,4725
9,3348	0,2737	57,3661
9,6110	0,2700	57,4016
9,9000	0,2662	57,7562
10,3110	0,2626	57,8980
10,5743	0,2591	57,8625
10,8729	0,2554	57,7207
11,0560	0,2528	57,5080
11,3353	0,2478	57,4371
11,5441	0,2414	57,3661
11,8170	0,2356	57,5789
12,1799	0,2318	57,7562
12,3918	0,2273	57,7207
12,6423	0,2217	57,5080
12,8574	0,2139	57,4016
13,0405	0,2075	57,5080
13,2973	0,2007	57,7562
13,5735	0,1943	57,9334
13,8015	0,1874	57,7207
13,9332	0,1786	57,5080
14,0455	0,1699	57,3661
14,1804	0,1624	57,5789
14,4662	0,1528	57,8625
14,6557	0,1443	57,8271
14,7905	0,1365	57,5789
14,8483	0,1272	57,4016
14,9447	0,1176	57,4725
15,1052	0,1082	57,6852
15,2915	0,1006	57,8271
15,3846	0,0936	57,5789
15,3653	0,0864	57,3661
15,4552	0,0781	57,4016
15,5644	0,0704	57,7562
15,7378	0,0646	57,8980
15,7282	0,0595	57,5789
15,7025	0,0534	57,4016
15,7282	0,0473	57,6143
15,9080	0,0421	57,7562
15,9819	0,0385	57,6852
15,8920	0,0362	57,4016
15,8791	0,0320	57,4725
15,9947	0,0271	57,7207
16,0718	0,0254	57,8980
16,1264	0,0232	57,8271
16,0621	0,0220	57,6498
16,0878	0,0193	57,4725
16,0461	0,0169	57,5080
16,0750	0,0152	57,6143
16,1039	0,0128	57,8625
16,1585	0,0132	57,8271
16,2131	0,0126	57,6852
16,1521	0,0107	57,3661
16,1713	0,0099	57,3307
16,1199	0,0087	57,4725
16,1264	0,0074	57,7207
16,2131	0,0064	57,8625
16,2966	0,0060	57,8625

03.10.2016	14:20:00
V	I	G
[V]	[A]	[W/m²]
1,8111	4,7346	830,0009
2,3634	4,7256	829,9300
2,9864	4,7202	829,7882
3,5226	4,7107	829,6464
4,0910	4,7028	829,5046
4,6947	4,6953	829,3628
5,3594	4,6884	829,5046
5,9631	4,6786	829,5046
6,6117	4,6669	829,5755
7,1609	4,6554	829,7882
7,6843	4,6393	829,7882
8,2398	4,6251	829,6819
8,7889	4,6083	829,5400
9,3573	4,5938	829,5046
9,8935	4,5755	829,2918
10,4426	4,5557	829,3982
11,1106	4,5313	829,4337
11,6693	4,5032	829,5755
12,2569	4,4672	829,7173
12,8221	4,4230	829,9300
13,2717	4,3683	829,9300
13,7437	4,2984	829,7882
14,2543	4,2150	829,6819
14,7488	4,1173	829,6464
15,1887	4,0022	829,4691
15,6864	3,8675	829,4691
16,1488	3,7179	829,5400
16,6048	3,5508	829,6819
17,0030	3,3731	829,7882
17,3691	3,1847	829,8237
17,6709	2,9892	829,7882
17,8989	2,7893	829,6819
18,1558	2,5962	829,5046
18,4095	2,4097	829,3628
18,6856	2,2284	829,2918
18,8815	2,0553	829,2209
19,1513	1,8899	829,2564
19,3215	1,7369	829,4337
19,4916	1,5927	829,5400
19,6618	1,4593	829,7173
19,8192	1,3332	829,7528
19,8898	1,2205	829,7528
19,9701	1,1139	829,5400
20,0536	1,0186	829,5755
20,1371	0,9324	829,4691
20,2045	0,8537	829,5046
20,3265	0,7818	829,4691
20,4743	0,7168	829,6819
20,5096	0,6564	829,7882
20,5674	0,5997	829,8237
20,6059	0,5484	829,9655
20,6573	0,5012	829,9655
20,6252	0,4592	829,7882
20,6701	0,4199	829,5755
20,6798	0,3879	829,5400
20,7408	0,3575	829,4691
20,7697	0,3299	829,4337
20,8756	0,3045	829,5046
20,9174	0,2828	829,7882
20,9367	0,2613	829,8237
20,9720	0,2407	829,9655
20,9720	0,2209	830,0009
20,9495	0,2043	829,9655
20,8821	0,1879	829,7528
20,9174	0,1750	829,6819
20,8981	0,1655	829,6464
20,9302	0,1554	829,5755
21,0105	0,1476	829,7173
21,0844	0,1386	829,7882
21,0876	0,1293	830,0364
21,0715	0,1193	830,0364
21,0779	0,1124	830,1782
21,0715	0,1044	830,1073
21,0105	0,0978	830,0009
20,9945	0,0924	829,7528
21,0041	0,0872	829,6819
20,9880	0,0841	829,5755
21,0201	0,0816	829,6464
21,0972	0,0789	829,7528
21,1422	0,0765	829,8946
21,1197	0,0721	830,0009
21,1261	0,0672	829,9655
21,0779	0,0635	830,0364
21,0490	0,0596	829,8237
21,0523	0,0572	829,7528
21,0362	0,0540	829,5400
21,0587	0,0545	829,5400
21,0715	0,0528	829,5755
21,1068	0,0525	829,7528
21,1582	0,0511	829,8946
21,1646	0,0494	830,0719
21,1518	0,0469	830,2137
21,1679	0,0433	830,2846
21,0683	0,0423	830,2846
21,0330	0,0398	830,1073
21,0298	0,0384	830,0009
21,0747	0,0381	829,9655
21,0619	0,0386	829,9655
21,1101	0,0386	829,9655
21,1646	0,0398	830,1782
