
14.12.2015	12:28:03
V	I	G
[V]	[A]	[W/m²]
0,0835	0,1351	66,7972
0,1220	0,1357	66,8326
0,2312	0,1348	66,9744
0,2890	0,1357	66,9035
0,4207	0,1352	67,0454
0,4046	0,1357	67,0454
0,6069	0,1357	67,0099
0,6294	0,1358	66,9744
0,7643	0,1354	66,9035
0,8285	0,1357	66,8681
0,8799	0,1354	66,8681
0,9344	0,1349	66,8326
1,0051	0,1349	66,8326
1,0725	0,1348	66,8681
1,1432	0,1348	66,9035
1,2138	0,1346	66,9744
1,3262	0,1346	66,9744
1,4257	0,1347	66,9035
1,5124	0,1355	67,0099
1,5959	0,1354	66,9744
1,6280	0,1359	66,9035
1,7404	0,1351	66,8681
1,7597	0,1357	66,7972
1,8496	0,1348	66,8326
1,7982	0,1352	66,8326
1,9556	0,1342	66,8681
1,9813	0,1348	66,9035
2,1386	0,1347	66,9744
2,2253	0,1348	67,0454
2,3506	0,1347	66,9744
2,4180	0,1355	66,8681
2,5015	0,1352	66,8681
2,5529	0,1347	66,7617
2,6139	0,1347	66,7972
2,6396	0,1346	66,7972
2,7134	0,1344	66,8326
2,7937	0,1339	66,9744
2,8900	0,1339	67,1163
3,0153	0,1342	67,1163
3,0506	0,1349	67,0808
3,1822	0,1346	66,9744
3,2336	0,1347	66,8681
3,3075	0,1347	66,8326
3,3653	0,1338	66,7617
3,4167	0,1348	66,7263
3,4295	0,1339	66,7617
3,5451	0,1339	66,7972
3,6029	0,1341	66,9035
3,7410	0,1338	67,0099
3,8277	0,1342	67,0099
3,9240	0,1344	67,0454
3,9915	0,1346	66,9744
4,0685	0,1348	66,9035
4,1167	0,1344	66,8681
4,1713	0,1341	66,7972
4,2098	0,1339	66,8326
4,2291	0,1339	66,8681
4,3672	0,1333	66,9035
4,2805	0,1333	66,9744
4,5695	0,1338	67,0099
4,6401	0,1339	67,0099
4,7364	0,1342	66,9744
4,8103	0,1344	66,8681
4,8777	0,1339	66,8326
4,9131	0,1338	66,7617
4,9837	0,1338	66,7617
5,0158	0,1336	66,7972
5,1089	0,1337	66,8681
5,1667	0,1332	66,8681
5,2727	0,1333	67,0099
5,3594	0,1333	67,0454
5,4557	0,1336	67,0099
5,5553	0,1337	67,0099
5,6291	0,1338	67,0099
5,7030	0,1333	66,8681
5,5906	0,1341	66,8681
5,8250	0,1336	66,8326
5,6741	0,1337	66,7263
5,9310	0,1330	66,7972
5,9695	0,1328	66,8326
6,0755	0,1326	66,8681
6,1493	0,1336	66,9035
6,2200	0,1326	66,9744
6,3195	0,1332	66,9744
6,4223	0,1332	67,0099
6,4929	0,1336	66,9744
6,5989	0,1332	66,8681
6,6567	0,1330	66,8326
6,7145	0,1333	66,7972
6,7627	0,1330	66,7972
6,8269	0,1326	66,8326
6,8943	0,1326	66,8681
6,9618	0,1322	66,9035
7,0485	0,1320	66,9744
7,0131	0,1330	67,0099
7,2347	0,1327	66,9744
7,1448	0,1331	66,8681
7,4017	0,1330	66,8326
7,3856	0,1327	66,7617
7,5109	0,1327	66,7263
7,5655	0,1327	66,7617
7,6329	0,1326	66,7972
7,6875	0,1324	66,8681
7,7870	0,1317	66,9744
7,8737	0,1320	67,0808
7,9765	0,1327	67,0808
8,0568	0,1324	67,0454
8,1467	0,1327	66,9035
8,1820	0,1327	66,7972
8,2494	0,1324	66,7972
8,2912	0,1324	66,7617
8,3361	0,1326	66,6554
8,4100	0,1321	66,7263
8,4357	0,1317	66,8326
8,5641	0,1313	66,9744
8,4935	0,1315	67,0099
8,7536	0,1321	67,0454
8,7150	0,1320	67,0454
8,9206	0,1321	67,0099
8,9751	0,1321	66,9035
9,0490	0,1319	66,7972
9,0875	0,1319	66,7617
9,1550	0,1315	66,7617
9,2128	0,1315	66,7617
9,2738	0,1311	66,8681
9,3573	0,1313	66,9035
9,4600	0,1313	67,0099
9,5660	0,1314	67,0454
9,6527	0,1320	67,0099
9,7105	0,1313	66,9035
9,7266	0,1317	66,8681
9,8100	0,1319	66,7617
9,8068	0,1314	66,7972
9,9481	0,1314	66,7617
9,8807	0,1313	66,7263
10,0669	0,1308	66,7972
10,0059	0,1305	66,8326
10,2307	0,1308	66,8681
10,3367	0,1313	66,9744
10,4266	0,1311	67,0099
10,5004	0,1314	67,0099
10,5807	0,1311	66,9744
10,6353	0,1311	66,8681
10,6899	0,1309	66,8326
10,7284	0,1309	66,7617
10,7830	0,1305	66,7617
10,8472	0,1300	66,7972
10,9339	0,1305	66,8681
11,0367	0,1303	66,9744
11,0849	0,1305	66,9744
11,2165	0,1308	66,9744
11,2390	0,1310	66,8681
11,3707	0,1305	66,8326
11,3996	0,1311	66,7972
11,4702	0,1310	66,7617
11,4445	0,1303	66,7617
11,5730	0,1300	66,8681
11,6436	0,1303	66,9744
11,7656	0,1303	67,0099
11,8523	0,1301	67,0099
11,9551	0,1303	66,9035
12,0225	0,1305	66,8681
12,0835	0,1304	66,7972
12,1317	0,1301	66,6554
12,1767	0,1303	66,7617
12,2216	0,1299	66,7972
12,2698	0,1299	66,8681
12,3693	0,1295	66,9744
12,4400	0,1300	67,0099
12,5652	0,1297	67,0808
12,6230	0,1303	67,0454
12,7226	0,1300	66,9744
12,7707	0,1300	66,8326
12,8349	0,1295	66,7617
12,8703	0,1297	66,7263
12,9345	0,1294	66,7263
12,9634	0,1293	66,6554
13,0661	0,1290	66,7972
13,1882	0,1294	66,9035
13,2813	0,1292	66,9744
13,3744	0,1299	66,9744
13,4451	0,1299	66,9744
13,4996	0,1299	66,8326
13,5607	0,1294	66,8681
13,6120	0,1293	66,7972
