Station no.	Date	Time	Vmpp	Impp	Pmpp	Voc	Isc	FF	G	Tmodul	G_pyranometer	V Range	I Range	Scan Rate	
			[V]	[A]	[W]	[V]	[A]	[%]	[W/m²]	[°C]	[W/m²]			[S/sec.]	
1	01.08.2016	06:30:00	8,288	0,0325	0,269	11,601	0,0513	45,3	8,0	13,8	2,0	2	0	500
1	01.08.2016	06:35:00	9,537	0,0568	0,542	14,263	0,0829	45,8	12,8	13,7	10,0	2	0	500
1	01.08.2016	06:40:00	10,327	0,0826	0,853	15,818	0,1143	47,2	17,7	13,7	16,8	2	0	500
1	01.08.2016	06:45:00	11,846	0,0916	1,085	16,494	0,1365	48,2	20,7	13,9	20,9	2	0	500
1	01.08.2016	06:50:00	11,570	0,1073	1,242	16,881	0,1499	49,1	23,1	14,1	23,4	2	0	500
1	01.08.2016	06:55:00	12,177	0,1310	1,595	17,454	0,1797	50,9	27,8	14,2	28,1	2	0	500
1	01.08.2016	07:00:00	13,233	0,1284	1,700	17,566	0,1878	51,5	29,3	14,7	29,5	2	0	500
1	01.08.2016	07:05:00	12,610	0,1474	1,859	17,737	0,2021	51,9	31,1	15,0	31,3	2	0	500
1	01.08.2016	07:10:00	12,417	0,1200	1,490	17,313	0,1722	50,0	26,7	15,2	26,3	2	0	500
1	01.08.2016	07:15:00	11,692	0,0970	1,134	16,658	0,1413	48,2	21,8	15,2	21,3	2	0	500
1	01.08.2016	07:20:00	12,305	0,1060	1,304	17,007	0,1580	48,5	24,6	15,2	24,0	2	0	500
1	01.08.2016	07:25:00	12,588	0,1289	1,623	17,446	0,1829	50,8	28,8	15,3	28,3	2	0	500
1	01.08.2016	07:30:00	12,812	0,1349	1,729	17,638	0,1917	51,1	29,9	15,5	29,3	2	0	500
1	01.08.2016	07:35:00	12,601	0,1654	2,084	17,964	0,2209	52,5	34,6	15,6	34,0	2	0	500
1	01.08.2016	07:40:00	14,026	0,2257	3,166	18,690	0,3044	55,6	47,8	15,7	47,8	2	0	500
1	01.08.2016	07:45:00	14,514	0,2971	4,312	19,157	0,3851	58,4	61,2	16,1	62,1	2	0	500
1	01.08.2016	07:50:00	13,940	0,2902	4,046	19,031	0,3675	57,8	57,4	16,4	57,1	2	0	500
1	01.08.2016	07:55:00	14,190	0,2053	2,914	18,493	0,2864	55,0	44,8	16,5	43,5	2	0	500
1	01.08.2016	08:00:00	14,110	0,1956	2,761	18,412	0,2749	54,5	42,7	16,5	42,6	2	0	500
1	01.08.2016	08:05:00	13,808	0,2365	3,266	18,701	0,3113	56,1	48,6	16,5	49,2	2	0	500
1	01.08.2016	08:10:00	14,791	0,3193	4,723	19,273	0,4153	59,0	65,1	16,6	65,8	2	0	500
1	01.08.2016	08:15:00	14,688	0,3173	4,661	19,215	0,4124	58,8	64,4	17,0	64,6	2	0	500
