Station no.	Date	Time	Vmpp	Impp	Pmpp	Voc	Isc	FF	G	Tmodul	G_pyranometer	V Range	I Range	Scan Rate	
			[V]	[A]	[W]	[V]	[A]	[%]	[W/m²]	[°C]	[W/m²]			[S/sec.]	
4	14.12.2015	14:33:09	56,057	0,4509	25,277	65,007	0,4850	80,2	75,1	10,2	25,4	2	0	1000
4	14.12.2015	14:35:09	55,611	0,3746	20,833	64,531	0,4025	80,2	62,2	10,0	25,4	2	0	1000
4	14.12.2015	14:50:09	45,993	0,1657	7,622	45,890	0,1741	95,4	27,2	10,1	32,2	2	0	1000
4	14.12.2015	14:55:23	52,839	0,1063	5,619	61,113	0,1186	77,5	18,5	10,6	19,7	2	0	100
4	14.12.2015	15:00:23	49,638	0,0541	2,685	58,855	0,0621	73,5	9,2	10,0	8,6	2	0	100
4	14.12.2015	15:05:23	46,687	0,0244	1,140	55,518	0,0287	71,6	4,1	9,9	0,7	2	0	100
4	14.12.2015	15:10:23	47,599	0,0237	1,127	55,512	0,0289	70,2	4,0	9,8	0,7	2	0	100
4	14.12.2015	15:15:23	48,151	0,0384	1,849	57,639	0,0432	74,2	6,3	9,7	2,5	2	0	100
4	14.12.2015	15:20:23	51,337	0,0839	4,307	60,477	0,0925	77,0	14,3	9,7	15,0	2	0	100
4	14.12.2015	15:25:23	52,242	0,0741	3,871	60,176	0,0844	76,2	13,0	9,5	13,8	2	0	100
4	14.12.2015	15:30:23	49,066	0,0510	2,504	58,785	0,0575	74,1	8,5	9,5	7,7	2	0	100
4	14.12.2015	15:35:23	49,069	0,0356	1,746	57,454	0,0412	73,8	6,0	9,4	3,2	2	0	100
4	14.12.2015	15:40:23	49,532	0,0418	2,072	58,171	0,0483	73,7	7,1	9,3	7,0	2	0	100
4	14.12.2015	15:45:23	50,993	0,0418	2,133	58,235	0,0494	74,1	7,4	9,2	5,7	2	0	100
4	14.12.2015	15:50:23	50,046	0,0372	1,860	57,785	0,0442	72,8	6,5	9,2	3,4	2	0	100
4	14.12.2015	15:55:23	48,093	0,0265	1,274	56,131	0,0318	71,4	4,5	9,2	0,9	2	0	100
4	14.12.2015	16:00:23	47,066	0,0209	0,981	54,719	0,0254	70,5	3,4	9,2	0,5	2	0	100
4	14.12.2015	16:05:23	44,873	0,0190	0,853	53,765	0,0224	70,7	3,0	9,0	0,9	2	0	100
4	14.12.2015	16:10:23	45,772	0,0179	0,820	53,557	0,0221	69,4	3,0	9,0	0,5	2	0	100
4	14.12.2015	16:15:23	42,413	0,0134	0,567	44,043	0,0161	79,8	2,1	8,9	0,2	2	0	100
4	14.12.2015	16:20:23	35,361	0,0114	0,403	36,195	0,0128	87,4	1,5	8,9	0,0	2	0	100
4	15.12.2015	08:50:23	40,152	0,0126	0,507	40,358	0,0153	82,0	1,9	5,4	-0,2	2	0	100
4	15.12.2015	08:55:23	48,610	0,0191	0,930	55,178	0,0239	70,7	3,4	5,4	0,2	2	0	100
4	15.12.2015	09:00:23	48,257	0,0328	1,580	57,945	0,0374	73,0	5,4	5,1	1,4	2	0	100
4	15.12.2015	09:05:23	51,349	0,0494	2,538	59,748	0,0571	74,4	8,6	5,0	6,3	2	0	100
4	15.12.2015	09:10:23	50,845	0,0612	3,112	60,443	0,0685	75,2	10,5	4,8	9,3	2	0	100
4	15.12.2015	09:15:23	53,440	0,0735	3,927	61,195	0,0842	76,2	13,1	4,8	11,8	2	0	100
4	15.12.2015	09:20:23	54,663	0,1041	5,693	62,172	0,1179	77,7	18,4	5,1	17,7	2	0	100
4	15.12.2015	09:25:23	53,767	0,0990	5,322	61,877	0,1109	77,5	17,4	5,7	17,2	2	0	100
4	15.12.2015	09:55:23	54,997	0,1945	10,699	63,638	0,2117	79,4	33,6	6,6	33,6	2	0	100
4	15.12.2015	10:00:23	54,917	0,2409	13,230	64,145	0,2580	79,9	40,8	6,7	40,8	2	0	100
4	15.12.2015	10:05:23	54,878	0,2613	14,338	64,365	0,2791	79,8	44,2	6,9	44,0	2	0	100
4	15.12.2015	10:10:23	56,323	0,3049	17,175	64,807	0,3306	80,2	52,2	7,2	52,2	2	0	100
4	15.12.2015	10:15:23	56,898	0,3371	19,179	65,024	0,3681	80,1	58,0	7,4	58,0	2	0	100
4	15.12.2015	10:20:23	56,083	0,3935	22,069	65,344	0,4201	80,4	66,1	7,6	66,2	2	0	100
4	15.12.2015	10:25:23	56,429	0,4102	23,147	65,432	0,4409	80,2	69,3	7,9	69,6	2	0	100
4	15.12.2015	10:30:13	0,000	0,0000	0,000	NaN	NaN	NaN	NaN	8,2	62,8	2	0	100
