Station no.	Date	Time	Vmpp	Impp	Pmpp	Voc	Isc	FF	G	Tmodul	G_pyranometer	V Range	I Range	Scan Rate	
			[V]	[A]	[W]	[V]	[A]	[%]	[W/m²]	[°C]	[W/m²]			[S/sec.]	
6	03.10.2016	14:10:52	57,605	0,0713	4,105	73,107	0,0981	57,3	50,5	21,1	54,6	2	0	100
6	03.10.2016	14:20:17	72,594	1,5855	115,102	87,676	1,7520	74,9	831,1	23,5	853,1	2	0	900
6	03.10.2016	14:25:17	71,069	1,5894	112,954	86,073	1,7672	74,3	838,2	26,1	859,4	2	0	900
6	03.10.2016	14:30:17	69,480	1,5621	108,535	85,043	1,7266	73,9	819,4	26,3	839,2	2	0	900
6	03.10.2016	14:35:17	69,708	1,5237	106,215	84,281	1,7100	73,7	811,1	25,6	829,0	2	0	900
6	03.10.2016	14:40:17	68,404	1,5365	105,101	83,964	1,7007	73,6	807,8	27,3	827,0	2	0	900
6	03.10.2016	14:45:17	68,808	1,5238	104,854	83,366	1,7144	73,4	815,1	27,0	834,5	2	0	900
6	03.10.2016	14:50:17	68,500	1,6219	111,097	83,637	1,8112	73,3	868,8	26,1	886,6	2	0	900
6	03.10.2016	14:55:17	67,569	1,0721	72,439	81,932	1,2205	72,4	573,7	28,0	693,4	2	0	700
6	03.10.2016	15:00:17	69,024	1,5445	106,604	84,151	1,7187	73,7	820,3	27,1	839,9	2	0	900
6	03.10.2016	15:05:18	68,786	1,4857	102,195	84,241	1,6461	73,7	782,5	26,5	796,4	2	0	800
6	03.10.2016	15:10:18	70,334	1,4434	101,518	85,215	1,6071	74,1	765,2	24,8	785,0	2	0	800
6	03.10.2016	15:15:18	69,968	1,4512	101,539	85,606	1,5999	74,1	761,4	24,7	779,8	2	0	800
6	03.10.2016	15:20:18	71,596	1,3976	100,064	85,786	1,5699	74,3	749,5	24,5	766,4	2	0	800
6	03.10.2016	15:25:52	62,097	0,1327	8,242	75,148	0,1757	62,4	85,2	23,0	87,8	2	0	100
6	03.10.2016	15:30:18	71,480	1,3681	97,790	86,117	1,5250	74,5	731,8	23,0	749,7	2	0	800
6	03.10.2016	15:35:18	70,610	1,3738	97,006	85,502	1,5280	74,2	733,9	24,5	751,7	2	0	800
6	03.10.2016	15:40:32	64,444	0,2764	17,810	78,247	0,3327	68,4	159,5	24,0	162,8	2	0	200
6	03.10.2016	15:45:32	65,324	0,1657	10,825	78,285	0,2115	65,4	106,7	20,9	109,8	2	0	200
6	03.10.2016	15:50:52	65,697	0,1371	9,010	78,731	0,1773	64,5	86,3	19,0	90,2	2	0	100
6	03.10.2016	15:55:20	73,310	1,3168	96,535	88,251	1,4504	75,4	698,8	20,1	682,1	2	0	700
6	03.10.2016	16:00:19	72,427	1,2087	87,545	86,274	1,3587	74,7	658,4	22,5	676,2	2	0	700
6	03.10.2016	16:05:32	66,108	0,2214	14,637	78,702	0,2775	67,0	127,5	22,8	131,3	2	0	200
6	03.10.2016	16:10:34	65,790	0,1538	10,120	78,561	0,1976	65,2	95,9	19,8	98,2	2	0	100
6	03.10.2016	16:15:20	72,720	1,1253	81,832	86,707	1,2574	75,1	606,2	21,0	554,0	2	0	600
6	03.10.2016	16:20:27	72,138	1,0939	78,913	86,733	1,2121	75,1	581,1	21,0	589,8	2	0	600
6	03.10.2016	16:25:19	71,185	1,0007	71,234	85,576	1,1192	74,4	544,2	21,5	559,2	2	0	600
6	03.10.2016	16:30:20	71,217	0,9543	67,964	85,054	1,0758	74,3	524,6	22,9	539,9	2	0	600
6	03.10.2016	16:35:19	70,709	0,9525	67,349	84,874	1,0686	74,3	524,0	22,8	538,1	2	0	600
6	03.10.2016	16:40:19	71,262	0,9049	64,484	84,779	1,0266	74,1	503,6	23,0	519,0	2	0	600
6	03.10.2016	16:45:26	69,708	0,5309	37,007	82,634	0,6182	72,4	135,3	22,5	292,3	2	0	200
6	03.10.2016	16:55:52	71,002	0,7541	53,545	84,681	0,8566	73,8	59,4	21,1	62,6	2	0	100
6	03.10.2016	17:00:52	62,543	0,0870	5,439	75,852	0,1202	59,6	58,4	19,6	61,2	2	0	100
6	03.10.2016	17:05:52	64,534	0,1148	7,409	78,440	0,1494	63,2	62,0	18,4	66,4	2	0	100
6	03.10.2016	17:10:52	67,912	0,1300	8,830	79,582	0,1709	64,9	78,7	18,4	83,0	2	0	100
6	03.10.2016	17:15:52	66,641	0,1433	9,548	80,040	0,1817	65,7	92,7	18,4	94,3	2	0	100
6	03.10.2016	17:20:32	69,319	0,2309	16,002	82,175	0,2811	69,3	130,7	18,7	132,0	2	0	200
6	03.10.2016	17:25:52	67,858	0,1411	9,572	79,916	0,1833	65,3	88,6	18,7	89,1	2	0	100
6	03.10.2016	17:30:52	60,376	0,0868	5,243	77,175	0,1126	60,3	54,2	18,1	56,2	2	0	100
6	03.10.2016	18:20:32	69,354	0,1094	7,588	80,035	0,1502	63,1	115,3	16,9	101,4	2	0	200
6	03.10.2016	18:25:52	65,440	0,0776	5,081	77,657	0,1092	59,9	52,1	16,8	51,2	2	0	100
6	03.10.2016	18:30:52	63,028	0,0584	3,680	76,350	0,0911	52,9	50,9	16,5	52,2	2	0	100
6	04.10.2016	09:15:52	67,367	0,1174	7,908	79,961	0,1472	67,2	79,4	13,7	81,4	2	0	100
