,Basecase,Moderate clouds,Heavy clouds,Tropics,Mid latitude summer,Mid latitude winter,Sub-arctic summer,Sub-arctic winter,Us62,Heavy aersol,Moderate aerosol,Severe pollution
0.28,1.21E-17,0,0,3.07E-16,7.45E-17,1.92E-19,1.21E-17,2.40E-19,1.66E-17,8.88E-18,1.08E-17,1.21E-17
0.281,1.91E-15,0,0,1.10E-14,1.79E-16,4.23E-17,1.91E-15,5.10E-17,2.49E-15,1.41E-15,1.70E-15,1.91E-15
0.282,9.95E-16,0,0,5.98E-13,3.09E-15,3.88E-16,9.95E-16,3.02E-16,1.20E-15,7.35E-16,8.88E-16,9.95E-16
0.283,9.34E-15,0,0,3.88E-12,3.00E-14,7.75E-16,9.34E-15,8.56E-16,1.10E-14,6.91E-15,8.34E-15,9.34E-15
0.284,2.34E-13,0,0,5.46E-11,7.11E-13,2.05E-14,2.34E-13,2.34E-14,2.88E-13,1.73E-13,2.09E-13,2.34E-13
0.285,1.10E-12,0,0,1.82E-10,2.89E-12,1.31E-13,1.10E-12,1.47E-13,1.29E-12,8.11E-13,9.78E-13,1.10E-12
0.286,2.68E-11,0,0,3.22E-09,6.69E-11,3.41E-12,2.68E-11,3.78E-12,3.11E-11,1.99E-11,2.39E-11,2.68E-11
0.287,3.66E-10,0,0,2.75E-08,8.52E-10,5.50E-11,3.66E-10,6.06E-11,4.25E-10,2.71E-10,3.27E-10,3.66E-10
0.288,5.64E-09,0,0,2.84E-07,1.01E-08,1.03E-09,5.64E-09,1.14E-09,5.33E-09,4.13E-09,5.01E-09,5.64E-09
0.289,5.85E-08,0,0,2.51E-06,1.22E-07,1.16E-08,5.85E-08,1.28E-08,6.80E-08,4.21E-08,5.16E-08,5.85E-08
0.29,6.95E-07,0,0,2.05E-05,1.34E-06,1.64E-07,6.95E-07,1.79E-07,7.98E-07,4.91E-07,6.07E-07,6.95E-07
0.291,3.94E-06,1.95E-05,1.08E-05,9.49E-05,7.15E-06,1.06E-06,3.94E-06,1.15E-06,4.45E-06,2.72E-06,3.40E-06,3.94E-06
0.292,3.56E-05,0.00017461,9.77E-05,0.0006543,6.27E-05,1.13E-05,3.56E-05,1.22E-05,4.11E-05,2.39E-05,3.04E-05,3.56E-05
0.293,0.0001435,0.00060432,0.00034098,0.002116,0.0002415,4.88E-05,0.0001435,5.26E-05,0.0001638,9.50E-05,0.0001216,0.0001435
0.294,0.0008111,0.002859,0.0016303,0.007888,0.001293,0.0003145,0.0008111,0.0003376,0.0009202,0.0005322,0.0006847,0.0008111
0.295,0.002611,0.0076979,0.0044193,0.01902,0.004023,0.001106,0.002611,0.001184,0.002953,0.001925,0.002325,0.002611
0.296,0.01289,0.03856,0.022332,0.07713,0.01831,0.007304,0.01289,0.007801,0.01438,0.009228,0.01132,0.01289
0.297,0.02474,0.062641,0.036495,0.1245,0.03395,0.01334,0.02474,0.01407,0.0273,0.01756,0.02164,0.02474
0.298,0.1055,0.26195,0.15377,0.4404,0.1394,0.06196,0.1055,0.0651,0.1157,0.07459,0.09209,0.1055
0.299,0.2367,0.55333,0.32619,0.8803,0.3055,0.1455,0.2367,0.1521,0.2573,0.1678,0.2068,0.2367
0.3,0.449,0.67299,0.39911,1.455,0.5614,0.2791,0.449,0.2873,0.4719,0.3216,0.3942,0.449
0.301,1.178,1.7042,1.0154,3.124,1.449,0.7762,1.178,0.7996,1.245,0.858,1.042,1.178
0.302,1.636,1.5445,0.92342,3.45,1.919,1.098,1.636,1.127,1.717,1.213,1.459,1.636
0.303,5.461,6.847,4.1139,10.67,6.174,4.266,5.461,4.35,5.662,4,4.841,5.461
0.304,6.223,8.4093,5.0619,11.74,7.045,4.89,6.223,4.971,6.428,4.53,5.501,6.223
0.305,12.69,15.423,9.3232,21.82,14.12,10.34,12.69,10.53,13.15,9.246,11.22,12.69
0.306,13.45,14.315,8.6719,22.03,14.82,11.1,13.45,11.27,13.85,9.806,11.89,13.45
0.307,23.02,28.952,17.583,38.93,25.08,19.64,23.02,19.95,23.74,16.84,20.38,23.02
0.308,30.72,34.693,21.111,47.28,33.15,26.55,30.72,26.89,31.5,22.53,27.24,30.72
0.309,34.8,34.075,20.754,46,36.75,27.91,34.8,28.25,35.45,26.11,31.17,34.8
0.31,37.89,31.826,19.454,48.08,39.72,34.95,37.89,35.28,38.65,28.15,33.78,37.89
0.311,75.52,75.103,45.932,94.08,78.87,69.99,75.52,70.59,76.85,55.89,67.21,75.52
0.312,70.29,66.509,40.743,85.19,73.03,66.03,70.29,66.59,71.54,51.81,62.43,70.29
0.313,90.2,89.607,54.965,106.7,93.28,85.38,90.2,86.01,91.6,66.3,80.01,90.2
0.314,108,110.36,67.663,126.4,111.4,102.6,108,103.3,109.6,79.29,95.75,108
0.315,121.4,119.51,73.431,138.2,124.6,116.6,121.4,117.3,123,89.04,107.6,121.4
0.316,87.94,75.854,46.584,99.28,90.1,84.61,87.94,85.08,88.98,64.45,77.89,87.94
0.317,153.5,140.92,86.57,170.6,156.8,148.4,153.5,149.1,155.1,112.5,136,153.5
0.318,123.6,102.05,62.681,136.5,126.1,119.7,123.6,120.3,124.8,90.6,109.5,123.6
0.319,174.3,176.47,108.66,187.1,176.9,171.5,174.3,172.3,176.1,128,154.5,174.3
0.32,176.9,151.97,93.113,192.8,179.9,171.4,176.9,172,178,129.6,156.7,176.9
0.321,185.8,162.23,99.847,195.8,187.9,184.3,185.8,185.1,187.6,136.7,164.8,185.8
0.322,195.7,193.34,118.5,208.9,198.2,191,195.7,191.5,196.6,143.6,173.4,195.7
0.323,165.7,144.76,88.817,175,167.6,163.5,165.7,164,166.9,121.8,147,165.7
0.324,233.5,206.84,127.09,240.7,235,232.8,233.5,233.5,235,173,207.8,233.5
0.325,208.4,183.23,112.11,219.1,210.5,204.6,208.4,205,209.1,153.2,184.8,208.4
0.326,321.1,285.43,174.95,330.2,323,320,321.1,320.7,322.9,238,285.8,321.1
0.327,319,261.65,160.27,326.2,320.4,317.7,319,318.3,320.2,236.6,284,319
0.328,279.6,235.36,143.58,289.7,281.5,270.8,279.6,271.1,280.2,207,248.8,279.6
0.329,341.1,300.41,183.66,346.4,342.3,341.5,341.1,342.1,342.7,253.5,304,341.1
0.33,390.7,351.3,214.54,396.1,391.8,390.1,390.7,390.7,391.8,290.4,348.2,390.7
0.331,322.8,279.94,170.43,330.1,324.3,320.4,322.8,320.8,323.5,239.5,287.5,322.8
0.332,348.1,292.33,178.06,351.9,348.9,348.2,348.1,348.7,349.2,259,310.3,348.1
0.333,342.9,278.31,169.33,346,343.5,342.7,342.9,343.1,343.6,255.3,305.8,342.9
0.334,320.5,274.51,166.61,325.4,321.5,319.5,320.5,319.8,321.3,238.3,285.7,320.5
0.335,342.9,268.88,163.18,359.6,343.3,343.2,342.9,343.6,343.6,255.7,306,342.9
0.336,279.3,170.11,103.12,277.5,278.9,279,279.3,278.8,278.7,210.9,250.7,279.3
0.337,267.9,207.79,125.71,270.5,268.4,267.3,267.9,267.4,268.3,199.6,239.1,267.9
0.338,323.2,234.23,141.56,325.2,323.6,323.2,323.2,323.5,323.8,241.2,288.6,323.2
0.339,370.6,313.73,189.43,369.1,370.2,370.2,370.6,370.1,370,278.6,332,370.6
0.34,417.2,361.61,217.94,436.6,417.7,416.9,417.2,417.2,417.7,311.6,372.7,417.2
0.341,368.3,303.9,182.97,366.8,367.9,368.2,368.3,368.1,367.9,277.2,330.1,368.3
0.342,402.8,358.64,215.66,402.1,402.6,402.6,402.8,402.5,402.5,301.9,360.3,402.8
0.343,415.1,371.08,222.82,414.1,414.8,414.8,415.1,414.7,414.7,311.7,371.6,415.1
0.344,288.2,218.56,131.03,298.7,300.3,287.8,288.2,287.9,288.3,215.7,257.6,288.2
0.345,386,333.37,199.71,385.2,385.8,386.2,386,386.2,385.9,290.1,345.7,386
0.346,334.5,261.96,156.76,334.2,334.4,334.5,334.5,334.5,334.4,250.9,299.4,334.5
0.347,406.7,353.86,211.5,406.2,406.6,406.9,406.7,407,406.7,305.5,364.2,406.7
0.348,374.7,321.44,191.88,374.4,374.6,374.8,374.7,374.9,374.7,281.2,335.3,374.7
0.349,347.2,261.2,155.73,347.1,347.2,347.3,347.2,347.4,347.2,260.4,310.7,347.2
0.35,425.2,365.14,217.43,425,425.1,425.2,425.2,425.3,425.2,319,380.5,425.2
0.351,400.6,341.59,203.15,400.4,400.5,400.8,400.6,400.9,400.6,301,358.8,400.6
0.352,418.5,277.92,165.08,418.1,418.4,418.7,418.5,418.8,418.5,314.9,375,418.5
0.353,410.8,308.37,182.95,410.7,410.8,410.9,410.8,411,410.9,308.8,368,410.8
0.354,455.2,361.47,214.18,455.1,455.1,455.3,455.2,455.4,455.2,342.1,407.7,455.2
0.355,460.7,347.25,205.5,460.7,460.6,460.9,460.7,461,460.8,346.5,412.8,460.7
0.356,435.9,310.98,183.8,435.9,435.9,436,435.9,436.1,436,328,390.7,435.9
0.357,307.6,297.27,175.45,307.7,307.6,307.7,307.6,307.8,307.7,231.7,275.8,307.6
0.358,298.5,223.74,131.87,298.5,298.5,298.6,298.5,298.7,298.6,224.9,267.7,298.5
0.359,356.9,274.66,161.67,357,356.9,357,356.9,357.1,357,269.1,320.2,356.9
0.36,482.4,357.51,210.19,482.4,482.4,482.5,482.4,482.6,482.5,364,432.9,482.4
0.361,351.5,278.89,163.83,351.5,351.5,351.6,351.5,351.6,351.6,265.3,315.5,351.5
0.362,349.9,338.82,198.9,349.9,349.9,350,349.9,350.1,350,264.3,314.2,349.9
0.363,434.9,352.58,206.8,434.9,434.9,435.1,434.9,435.2,435,328.7,390.6,434.9
0.364,489.8,304,178.13,489.9,489.8,490,489.8,490.2,490,370.5,440.1,489.8
0.365,426.5,375.09,219.56,426.5,426.4,426.7,426.5,426.8,426.6,322.8,383.3,426.5
